data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-04,Excel Mouscron,Antwerp,2,3,Vitória Visitante,0,1,A,21,13,8,6,13,3,23,5,3,1,0,1,16,5,3,2,5
2021-12-03,Charleroi,Club Brugge,1,1,Empate,0,1,A,5,8,3,2,7,7,10,7,3,0,0,0,14,2,3,0,3
2021-12-02,OH Leuven,Kortrijk,3,1,Vitória Mandante,3,0,H,8,28,4,10,3,5,7,17,2,4,1,0,8,4,3,4,7
2021-12-01,Oostende,Eupen,1,1,Empate,0,0,D,18,6,4,2,10,2,15,10,2,3,0,1,12,2,2,4,6
2021-11-04,Genk,Sint-Truiden,4,0,Vitória Mandante,3,0,H,19,6,8,2,5,2,13,13,0,1,0,0,7,4,0,1,1
2021-11-04,Beerschot,Oostende,1,2,Vitória Visitante,1,0,H,9,21,3,7,1,11,10,15,1,2,0,0,12,3,1,2,3
2021-11-04,Waasland-Bev,Kortrijk,3,4,Vitória Visitante,2,1,H,10,12,5,9,6,3,10,15,1,1,0,0,9,7,1,1,2
2021-11-04,Anderlecht,Club Brugge,2,1,Vitória Mandante,0,0,D,8,10,3,3,3,4,7,20,1,3,0,0,7,3,1,3,4
2021-11-01,Standard Liège,Waasland-Bev,3,1,Vitória Mandante,1,0,H,20,10,8,5,5,5,16,11,3,1,0,0,10,4,3,1,4
2021-10-04,Cercle Brugge,OH Leuven,3,0,Vitória Mandante,1,0,H,12,13,6,2,4,11,13,13,4,1,1,0,15,3,5,1,6
2021-10-04,Gent,Charleroi,4,0,Vitória Mandante,2,0,H,17,9,8,2,9,3,12,14,3,2,0,0,12,4,3,2,5
2021-10-04,Mechelen,Zulte Waregem,4,2,Vitória Mandante,2,0,H,20,18,12,5,3,7,14,9,3,0,0,0,10,6,3,0,3
2021-10-01,OH Leuven,Anderlecht,1,0,Vitória Mandante,0,0,D,5,19,1,3,1,9,10,9,1,3,0,0,10,1,1,3,4
2021-10-01,Beerschot,Gent,1,1,Empate,1,1,D,7,16,3,6,2,11,11,11,4,2,0,0,13,2,4,2,6
2021-10-01,Mechelen,Antwerp,3,0,Vitória Mandante,0,0,D,12,9,5,0,6,4,14,10,1,3,0,0,10,3,1,3,4
2021-10-01,Sint-Truiden,Club Brugge,1,2,Vitória Visitante,0,2,A,10,12,3,3,5,7,8,13,1,2,1,0,12,3,2,2,4
2021-09-04,Eupen,Standard Liège,0,4,Vitória Visitante,0,1,A,11,19,3,6,6,5,10,12,1,0,0,0,11,4,1,0,1
2021-09-01,Oostende,Charleroi,3,2,Vitória Mandante,1,1,D,19,11,6,3,6,3,15,7,2,0,0,0,9,5,2,0,2
2021-09-01,Kortrijk,Genk,2,1,Vitória Mandante,1,1,D,13,11,6,4,5,3,19,11,1,2,0,0,8,3,1,2,3
2021-09-01,Cercle Brugge,Eupen,1,2,Vitória Visitante,0,0,D,14,12,5,5,6,8,12,11,2,3,0,0,14,3,2,3,5
2021-09-01,Zulte Waregem,Excel Mouscron,1,0,Vitória Mandante,1,0,H,6,17,1,5,2,10,13,15,3,2,0,0,12,1,3,2,5
2021-08-03,Gent,Oostende,1,0,Vitória Mandante,1,0,H,7,15,2,3,4,2,16,10,1,0,0,0,6,1,1,0,1
2021-07-04,Beerschot,Charleroi,2,1,Vitória Mandante,1,0,H,12,16,4,3,3,9,13,14,2,2,0,0,12,3,2,2,4
2021-07-03,Club Brugge,Zulte Waregem,3,0,Vitória Mandante,2,0,H,18,7,8,1,6,2,6,6,0,1,0,0,8,3,0,1,1
2021-07-03,Anderlecht,Mechelen,1,1,Empate,1,0,H,14,7,3,2,6,0,16,16,0,1,0,0,6,2,0,1,1
2021-07-03,Genk,Cercle Brugge,2,0,Vitória Mandante,2,0,H,15,7,8,1,8,2,9,17,1,4,0,1,10,2,1,5,6
2021-07-03,Excel Mouscron,Standard Liège,1,0,Vitória Mandante,1,0,H,8,21,0,4,3,14,11,16,2,1,0,0,17,1,2,1,3
2021-07-02,Gent,Eupen,2,2,Empate,2,1,H,9,7,3,4,3,1,10,16,4,2,0,0,4,4,4,2,6
2021-07-02,Beerschot,Antwerp,1,2,Vitória Visitante,0,0,D,6,11,3,2,5,7,8,16,4,3,0,0,12,3,4,3,7
2021-07-02,Genk,Anderlecht,1,2,Vitória Visitante,1,2,A,5,11,1,3,5,2,16,11,3,2,0,0,7,3,3,2,5
2021-07-02,Charleroi,Zulte Waregem,1,1,Empate,1,0,H,9,20,8,5,3,6,16,8,1,1,0,0,9,2,1,1,2
2021-06-04,Waasland-Bev,Sint-Truiden,2,4,Vitória Visitante,1,1,D,13,19,6,8,4,6,11,7,5,1,2,0,10,6,7,1,8
