data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo
2020-12-02,Waasland-Beveren,Kortrijk,1,2,Vitória Visitante,1,1,D
2020-12-02,Standard,Club Brugge,0,0,Empate,0,0,D
2020-11-02,Charleroi,Mechelen,2,1,Vitória Mandante,0,0,D
2020-08-02,Mouscron,Oostende,3,1,Vitória Mandante,0,1,A
2020-08-02,St Truiden,Eupen,5,2,Vitória Mandante,3,2,H
2020-08-02,Cercle Brugge,Mechelen,3,2,Vitória Mandante,2,1,H
2020-08-02,Charleroi,Waregem,4,0,Vitória Mandante,1,0,H
2020-07-03,Standard,St Truiden,0,0,Empate,0,0,D
2020-07-03,Anderlecht,Waregem,7,0,Vitória Mandante,2,0,H
2020-07-03,Gent,Charleroi,1,4,Vitória Visitante,0,2,A
2020-07-03,Kortrijk,Antwerp,0,1,Vitória Visitante,0,0,D
2020-07-03,Mechelen,Eupen,1,1,Empate,1,0,H
2020-07-03,Mouscron,Waasland-Beveren,1,0,Vitória Mandante,0,0,D
2020-07-03,Oostende,Genk,2,4,Vitória Visitante,1,0,H
2020-07-03,Club Brugge,Cercle Brugge,2,1,Vitória Mandante,1,0,H
2020-07-02,Gent,Anderlecht,1,1,Empate,1,1,D
2020-02-29,Waregem,Kortrijk,2,2,Empate,2,0,H
2020-02-29,Antwerp,Oostende,3,1,Vitória Mandante,2,0,H
2020-02-29,Eupen,Mouscron,2,1,Vitória Mandante,1,1,D
2020-02-29,Waasland-Beveren,Anderlecht,0,3,Vitória Visitante,0,1,A
2020-02-28,St Truiden,Mechelen,0,3,Vitória Visitante,0,0,D
2020-02-23,Club Brugge,Charleroi,1,0,Vitória Mandante,1,0,H
2020-02-23,Anderlecht,Eupen,6,1,Vitória Mandante,4,0,H
2020-02-23,Gent,St Truiden,4,1,Vitória Mandante,3,0,H
2020-02-22,Mechelen,Waasland-Beveren,4,0,Vitória Mandante,2,0,H
2020-02-22,Mouscron,Cercle Brugge,0,1,Vitória Visitante,0,0,D
2020-02-22,Standard,Antwerp,1,0,Vitória Mandante,1,0,H
2020-02-22,Oostende,Waregem,1,1,Empate,1,1,D
2020-02-21,Kortrijk,Genk,0,1,Vitória Visitante,0,0,D
2020-02-16,Genk,Standard,1,3,Vitória Visitante,0,2,A
2020-02-16,Waregem,Mouscron,1,2,Vitória Visitante,0,1,A
2020-02-16,Antwerp,Charleroi,1,1,Empate,1,0,H
2020-02-15,Oostende,Kortrijk,0,3,Vitória Visitante,0,0,D
2020-02-15,Club Brugge,Waasland-Beveren,2,1,Vitória Mandante,1,0,H
2020-02-15,Mechelen,Anderlecht,2,0,Vitória Mandante,0,0,D
2020-02-15,St Truiden,Cercle Brugge,0,1,Vitória Visitante,0,0,D
2020-02-14,Eupen,Gent,2,3,Vitória Visitante,2,2,D
2020-02-13,Antwerp,Genk,1,1,Empate,1,1,D
2020-02-02,Waregem,Waasland-Beveren,5,0,Vitória Mandante,3,0,H
2020-02-02,Anderlecht,Mouscron,1,0,Vitória Mandante,0,0,D
2020-02-02,Club Brugge,Antwerp,1,0,Vitória Mandante,0,0,D
2020-01-31,Kortrijk,Standard,3,1,Vitória Mandante,0,0,D
2020-01-29,Charleroi,Club Brugge,0,0,Empate,0,0,D
2020-01-26,Kortrijk,Club Brugge,2,2,Empate,1,2,A
2020-01-26,Cercle Brugge,Anderlecht,1,2,Vitória Visitante,1,0,H
2020-01-26,Antwerp,Waregem,2,1,Vitória Mandante,1,1,D
2020-01-25,Mouscron,St Truiden,1,3,Vitória Visitante,0,1,A
2020-01-25,Gent,Genk,4,1,Vitória Mandante,1,1,D
2020-01-25,Waasland-Beveren,Eupen,0,1,Vitória Visitante,0,1,A
2020-01-24,Standard,Oostende,2,1,Vitória Mandante,0,0,D
2020-01-19,Waregem,Genk,0,3,Vitória Visitante,0,1,A
2020-01-19,Cercle Brugge,Antwerp,1,2,Vitória Visitante,1,1,D
2020-01-19,Anderlecht,Club Brugge,1,2,Vitória Visitante,1,1,D
2020-01-18,Eupen,Charleroi,1,1,Empate,1,1,D
2020-01-18,Oostende,Waasland-Beveren,0,1,Vitória Visitante,0,1,A
2020-01-18,St Truiden,Kortrijk,2,0,Vitória Mandante,0,0,D
2020-01-18,Gent,Mouscron,3,1,Vitória Mandante,1,0,H
2020-01-17,Mechelen,Standard,2,3,Vitória Visitante,0,1,A
2020-01-03,Genk,Club Brugge,1,2,Vitória Visitante,1,1,D
2020-01-03,Charleroi,Standard,2,0,Vitória Mandante,1,0,H
2020-01-03,Cercle Brugge,Gent,1,0,Vitória Mandante,1,0,H
2020-01-02,Genk,Charleroi,1,0,Vitória Mandante,1,0,H
2020-01-02,Mechelen,Gent,0,3,Vitória Visitante,0,1,A
