data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-04,Excel Mouscron,Antwerp,2,3,Vitória Visitante,0,1,A,21.0,13.0,8.0,6.0,13.0,3.0,23.0,5.0,3.0,1.0,0.0,1.0,16.0,5.0,3.0,2.0,5.0
2021-12-03,Charleroi,Club Brugge,1,1,Empate,0,1,A,5.0,8.0,3.0,2.0,7.0,7.0,10.0,7.0,3.0,0.0,0.0,0.0,14.0,2.0,3.0,0.0,3.0
2021-12-02,OH Leuven,Kortrijk,3,1,Vitória Mandante,3,0,H,8.0,28.0,4.0,10.0,3.0,5.0,7.0,17.0,2.0,4.0,1.0,0.0,8.0,4.0,3.0,4.0,7.0
2021-12-01,Oostende,Eupen,1,1,Empate,0,0,D,18.0,6.0,4.0,2.0,10.0,2.0,15.0,10.0,2.0,3.0,0.0,1.0,12.0,2.0,2.0,4.0,6.0
2021-11-04,Genk,Sint-Truiden,4,0,Vitória Mandante,3,0,H,19.0,6.0,8.0,2.0,5.0,2.0,13.0,13.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,1.0,1.0
2021-11-04,Anderlecht,Club Brugge,2,1,Vitória Mandante,0,0,D,8.0,10.0,3.0,3.0,3.0,4.0,7.0,20.0,1.0,3.0,0.0,0.0,7.0,3.0,1.0,3.0,4.0
2021-11-04,Beerschot,Oostende,1,2,Vitória Visitante,1,0,H,9.0,21.0,3.0,7.0,1.0,11.0,10.0,15.0,1.0,2.0,0.0,0.0,12.0,3.0,1.0,2.0,3.0
2021-11-04,Waasland-Bev,Kortrijk,3,4,Vitória Visitante,2,1,H,10.0,12.0,5.0,9.0,6.0,3.0,10.0,15.0,1.0,1.0,0.0,0.0,9.0,7.0,1.0,1.0,2.0
2021-11-01,Standard Liège,Waasland-Bev,3,1,Vitória Mandante,1,0,H,20.0,10.0,8.0,5.0,5.0,5.0,16.0,11.0,3.0,1.0,0.0,0.0,10.0,4.0,3.0,1.0,4.0
2021-10-04,Cercle Brugge,OH Leuven,3,0,Vitória Mandante,1,0,H,12.0,13.0,6.0,2.0,4.0,11.0,13.0,13.0,4.0,1.0,1.0,0.0,15.0,3.0,5.0,1.0,6.0
2021-10-04,Gent,Charleroi,4,0,Vitória Mandante,2,0,H,17.0,9.0,8.0,2.0,9.0,3.0,12.0,14.0,3.0,2.0,0.0,0.0,12.0,4.0,3.0,2.0,5.0
2021-10-04,Mechelen,Zulte Waregem,4,2,Vitória Mandante,2,0,H,20.0,18.0,12.0,5.0,3.0,7.0,14.0,9.0,3.0,0.0,0.0,0.0,10.0,6.0,3.0,0.0,3.0
2021-10-01,Beerschot,Gent,1,1,Empate,1,1,D,7.0,16.0,3.0,6.0,2.0,11.0,11.0,11.0,4.0,2.0,0.0,0.0,13.0,2.0,4.0,2.0,6.0
2021-10-01,Sint-Truiden,Club Brugge,1,2,Vitória Visitante,0,2,A,10.0,12.0,3.0,3.0,5.0,7.0,8.0,13.0,1.0,2.0,1.0,0.0,12.0,3.0,2.0,2.0,4.0
2021-10-01,OH Leuven,Anderlecht,1,0,Vitória Mandante,0,0,D,5.0,19.0,1.0,3.0,1.0,9.0,10.0,9.0,1.0,3.0,0.0,0.0,10.0,1.0,1.0,3.0,4.0
2021-10-01,Mechelen,Antwerp,3,0,Vitória Mandante,0,0,D,12.0,9.0,5.0,0.0,6.0,4.0,14.0,10.0,1.0,3.0,0.0,0.0,10.0,3.0,1.0,3.0,4.0
2021-09-04,Eupen,Standard Liège,0,4,Vitória Visitante,0,1,A,11.0,19.0,3.0,6.0,6.0,5.0,10.0,12.0,1.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,1.0
2021-09-01,Oostende,Charleroi,3,2,Vitória Mandante,1,1,D,19.0,11.0,6.0,3.0,6.0,3.0,15.0,7.0,2.0,0.0,0.0,0.0,9.0,5.0,2.0,0.0,2.0
2021-09-01,Kortrijk,Genk,2,1,Vitória Mandante,1,1,D,13.0,11.0,6.0,4.0,5.0,3.0,19.0,11.0,1.0,2.0,0.0,0.0,8.0,3.0,1.0,2.0,3.0
2021-09-01,Cercle Brugge,Eupen,1,2,Vitória Visitante,0,0,D,14.0,12.0,5.0,5.0,6.0,8.0,12.0,11.0,2.0,3.0,0.0,0.0,14.0,3.0,2.0,3.0,5.0
2021-09-01,Zulte Waregem,Excel Mouscron,1,0,Vitória Mandante,1,0,H,6.0,17.0,1.0,5.0,2.0,10.0,13.0,15.0,3.0,2.0,0.0,0.0,12.0,1.0,3.0,2.0,5.0
2021-08-03,Gent,Oostende,1,0,Vitória Mandante,1,0,H,7.0,15.0,2.0,3.0,4.0,2.0,16.0,10.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0
2021-07-04,Beerschot,Charleroi,2,1,Vitória Mandante,1,0,H,12.0,16.0,4.0,3.0,3.0,9.0,13.0,14.0,2.0,2.0,0.0,0.0,12.0,3.0,2.0,2.0,4.0
2021-07-03,Genk,Cercle Brugge,2,0,Vitória Mandante,2,0,H,15.0,7.0,8.0,1.0,8.0,2.0,9.0,17.0,1.0,4.0,0.0,1.0,10.0,2.0,1.0,5.0,6.0
2021-07-03,Excel Mouscron,Standard Liège,1,0,Vitória Mandante,1,0,H,8.0,21.0,0.0,4.0,3.0,14.0,11.0,16.0,2.0,1.0,0.0,0.0,17.0,1.0,2.0,1.0,3.0
2021-07-03,Anderlecht,Mechelen,1,1,Empate,1,0,H,14.0,7.0,3.0,2.0,6.0,0.0,16.0,16.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0
