clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Club Brugge,2021-04-18,al,Em casa,V,4.0,2.0,Excel Mouscron,72.0,6.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104191/tlogo/fb/f1e6c5f1.png
Club Brugge,2021-04-11,al,Visitante,D,1.0,2.0,Anderlecht,57.0,3.0,
Club Brugge,2021-04-03,al,Visitante,V,2.0,1.0,Kortrijk,56.0,3.0,
Club Brugge,2021-03-21,al,Em casa,D,0.0,2.0,Antwerp,66.0,2.0,
Club Brugge,2021-03-15,al,Visitante,V,4.0,0.0,Gent,53.0,4.0,
Club Brugge,2021-03-12,al,Visitante,E,1.0,1.0,Charleroi,55.0,2.0,
Club Brugge,2021-03-07,al,Em casa,V,3.0,0.0,Zulte Waregem,49.0,3.0,
Club Brugge,2021-02-22,al,Em casa,V,3.0,0.0,OH Leuven,53.0,3.0,
Club Brugge,2021-02-06,al,Visitante,V,2.0,0.0,Waasland-Bev,56.0,2.0,
Club Brugge,2021-01-31,al,Em casa,V,3.0,1.0,Standard Liège,61.0,4.0,
Club Brugge,2021-01-28,al,Visitante,V,2.0,1.0,Cercle Brugge,63.0,3.0,
Club Brugge,2021-01-24,al,Em casa,V,3.0,2.0,Genk,60.0,5.0,
Club Brugge,2021-01-20,al,Em casa,V,2.0,1.0,Oostende,63.0,3.0,
Club Brugge,2021-01-17,al,Visitante,V,3.0,0.0,Beerschot,57.0,3.0,
Club Brugge,2021-01-10,al,Visitante,V,2.0,1.0,Sint-Truiden,57.0,3.0,
Club Brugge,2020-12-26,al,Em casa,V,3.0,0.0,Eupen,57.0,3.0,
Club Brugge,2020-12-20,al,Em casa,D,0.0,1.0,Gent,63.0,1.0,
Club Brugge,2020-12-17,al,Visitante,V,3.0,0.0,Mechelen,49.0,3.0,
Club Brugge,2020-12-13,al,Visitante,V,2.0,0.0,Antwerp,59.0,2.0,
Club Brugge,2020-12-05,al,Em casa,V,1.0,0.0,Sint-Truiden,57.0,1.0,
Club Brugge,2020-11-28,al,Visitante,E,0.0,0.0,Excel Mouscron,69.0,0.0,
Club Brugge,2020-11-21,al,Em casa,V,1.0,0.0,Kortrijk,59.0,1.0,
Club Brugge,2020-11-08,al,Visitante,V,3.0,1.0,Oostende,62.0,4.0,
Club Brugge,2020-10-31,al,Em casa,E,2.0,2.0,Mechelen,55.0,4.0,
Club Brugge,2020-10-24,al,Visitante,D,1.0,2.0,OH Leuven,61.0,3.0,
Club Brugge,2020-10-17,al,Visitante,E,1.0,1.0,Standard Liège,51.0,2.0,
Club Brugge,2020-10-04,al,Em casa,V,3.0,0.0,Anderlecht,57.0,3.0,
Club Brugge,2020-09-27,al,Em casa,V,2.0,1.0,Cercle Brugge,47.0,3.0,
Club Brugge,2020-09-20,al,Visitante,V,6.0,0.0,Zulte Waregem,42.0,6.0,
Club Brugge,2020-09-12,al,Em casa,V,4.0,1.0,Waasland-Bev,64.0,5.0,
Club Brugge,2020-08-30,al,Visitante,V,2.0,1.0,Genk,55.0,3.0,
Club Brugge,2020-08-23,al,Em casa,D,0.0,1.0,Beerschot,63.0,1.0,
Club Brugge,2020-08-16,al,Visitante,V,4.0,0.0,Eupen,54.0,4.0,
Club Brugge,2020-08-08,al,Em casa,D,0.0,1.0,Charleroi,57.0,1.0,
Antwerp,2021-04-17,al,Em casa,V,3.0,2.0,Genk,45.0,5.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104191/tlogo/fb/c2e6b53b.png
Antwerp,2021-04-12,al,Visitante,V,3.0,2.0,Excel Mouscron,52.0,5.0,
Antwerp,2021-04-05,al,Em casa,D,1.0,4.0,Anderlecht,45.0,5.0,
Antwerp,2021-03-21,al,Visitante,V,2.0,0.0,Club Brugge,34.0,2.0,
Antwerp,2021-03-06,al,Em casa,V,4.0,2.0,Kortrijk,37.0,6.0,
