posicao,equipe,n_jogos,vitorias,empates,derrotas,gols_marcados,gols_sofridos,saldo_gols,pontos,ultimos_5
1.0,Club Brugge,34.0,24.0,4.0,6.0,73.0,26.0,47.0,76.0,V D V D V
2.0,Antwerp,34.0,18.0,6.0,10.0,57.0,48.0,9.0,60.0,V V D V V
3.0,Anderlecht,34.0,15.0,13.0,6.0,51.0,34.0,17.0,58.0,E V V V V
4.0,Genk,34.0,16.0,8.0,10.0,67.0,48.0,19.0,56.0,V E V V D
5.0,Oostende,34.0,15.0,8.0,11.0,49.0,41.0,8.0,53.0,D V D V E
6.0,Standard Liège,34.0,13.0,11.0,10.0,52.0,41.0,11.0,50.0,D E V V V
7.0,Gent,34.0,14.0,7.0,13.0,55.0,42.0,13.0,49.0,D V D V V
8.0,Mechelen,34.0,13.0,9.0,12.0,54.0,54.0,0.0,48.0,E E D V V
9.0,Beerschot,34.0,14.0,5.0,15.0,58.0,64.0,-6.0,47.0,V D V D D
10.0,Zulte Waregem,34.0,14.0,4.0,16.0,53.0,69.0,-16.0,46.0,D D V D D
11.0,OH Leuven,34.0,12.0,9.0,13.0,54.0,59.0,-5.0,45.0,E E D D D
12.0,Eupen,34.0,10.0,13.0,11.0,44.0,55.0,-11.0,43.0,E V D D V
13.0,Charleroi,34.0,11.0,9.0,14.0,46.0,49.0,-3.0,42.0,E E D D D
14.0,Kortrijk,34.0,11.0,6.0,17.0,44.0,57.0,-13.0,39.0,D D D V D
15.0,Sint-Truiden,34.0,10.0,8.0,16.0,41.0,52.0,-11.0,38.0,E V V D D
16.0,Cercle Brugge,34.0,11.0,3.0,20.0,40.0,51.0,-11.0,36.0,D D V V E
17.0,Waasland-Bev,34.0,8.0,7.0,19.0,44.0,70.0,-26.0,31.0,D V D D V
18.0,Excel Mouscron,34.0,7.0,10.0,17.0,32.0,54.0,-22.0,31.0,V D E D D
