data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_partida
2021-09-14,Sport Recife,Internacional,0.0,1.0,Vitória Visitante,1.0
2021-09-13,Fluminense,São Paulo,2.0,1.0,Vitória Mandante,3.0
2021-09-12,Atl Goianiense,Corinthians,1.0,1.0,Empate,2.0
2021-09-12,Palmeiras,Flamengo,1.0,3.0,Vitória Visitante,4.0
2021-09-12,Fortaleza,Atlético Mineiro,0.0,2.0,Vitória Visitante,2.0
2021-09-12,Grêmio,Ceará,2.0,0.0,Vitória Mandante,2.0
2021-09-12,Santos,Bahia,0.0,0.0,Empate,0.0
2021-09-11,Bragantino,Chapecoense,1.0,2.0,Vitória Visitante,3.0
2021-09-11,Juventude,Cuiaba,1.0,2.0,Vitória Visitante,3.0
2021-09-11,América (MG),Atl Paranaense,2.0,0.0,Vitória Mandante,2.0
2021-09-08,Corinthians,Juventude,1.0,1.0,Empate,2.0
2021-09-08,Chapecoense,Fluminense,1.0,2.0,Vitória Visitante,3.0
2021-09-05,Atl Paranaense,Sport Recife,0.0,0.0,Empate,0.0
2021-09-05,Cuiaba,Santos,2.0,1.0,Vitória Mandante,3.0
2021-09-05,Bahia,Fortaleza,4.0,2.0,Vitória Mandante,6.0
2021-09-02,Fluminense,Juventude,1.0,1.0,Empate,2.0
2021-08-31,Fortaleza,Cuiaba,0.0,0.0,Empate,0.0
2021-08-30,Fluminense,Bahia,2.0,0.0,Vitória Mandante,2.0
2021-08-30,Bragantino,Atlético Mineiro,1.0,1.0,Empate,2.0
2021-08-29,Atl Goianiense,Internacional,0.0,0.0,Empate,0.0
2021-08-29,Juventude,São Paulo,1.0,1.0,Empate,2.0
2021-08-29,América (MG),Ceará,2.0,0.0,Vitória Mandante,2.0
2021-08-29,Palmeiras,Atl Paranaense,2.0,1.0,Vitória Mandante,3.0
2021-08-29,Grêmio,Corinthians,0.0,1.0,Vitória Visitante,1.0
2021-08-28,Sport Recife,Chapecoense,0.0,0.0,Empate,0.0
2021-08-28,Santos,Flamengo,0.0,4.0,Vitória Visitante,4.0
2021-08-24,Fluminense,Atlético Mineiro,1.0,1.0,Empate,2.0
2021-08-24,América (MG),Bragantino,0.0,2.0,Vitória Visitante,2.0
2021-08-23,Sport Recife,São Paulo,0.0,1.0,Vitória Visitante,1.0
2021-08-22,Santos,Internacional,2.0,2.0,Empate,4.0
2021-08-22,Ceará,Flamengo,1.0,1.0,Empate,2.0
2021-08-22,Atl Paranaense,Corinthians,0.0,1.0,Vitória Visitante,1.0
2021-08-22,Palmeiras,Cuiaba,0.0,2.0,Vitória Visitante,2.0
2021-08-22,Juventude,Fortaleza,1.0,1.0,Empate,2.0
2021-08-21,Grêmio,Bahia,2.0,0.0,Vitória Mandante,2.0
2021-08-21,Atl Goianiense,Chapecoense,1.0,1.0,Empate,2.0
2021-08-18,Cuiaba,Grêmio,0.0,1.0,Vitória Visitante,1.0
2021-08-17,Chapecoense,América (MG),1.0,1.0,Empate,2.0
2021-08-16,Internacional,Fluminense,4.0,2.0,Vitória Mandante,6.0
2021-08-15,Fortaleza,Santos,1.0,1.0,Empate,2.0
2021-08-15,Cuiaba,Atl Paranaense,1.0,0.0,Vitória Mandante,1.0
2021-08-15,Bahia,Atl Goianiense,1.0,2.0,Vitória Visitante,3.0
2021-08-15,Flamengo,Sport Recife,2.0,0.0,Vitória Mandante,2.0
2021-08-15,Corinthians,Ceará,3.0,1.0,Vitória Mandante,4.0
2021-08-15,São Paulo,Grêmio,2.0,1.0,Vitória Mandante,3.0
2021-08-14,Atlético Mineiro,Palmeiras,2.0,0.0,Vitória Mandante,2.0
2021-08-14,Bragantino,Juventude,1.0,2.0,Vitória Visitante,3.0
2021-08-10,Grêmio,Chapecoense,2.0,1.0,Vitória Mandante,3.0
2021-08-08,Palmeiras,Fortaleza,2.0,3.0,Vitória Visitante,5.0
