clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Fortaleza,2021-06-06, 2,Em casa,V,5.0,1.0,Internacional,52.0,6.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/a9d0ab0e.png
Fortaleza,2021-05-30, 1,Visitante,V,2.0,1.0,Atlético Mineiro,46.0,3.0,
Atl Paranaense,2021-06-06, 2,Visitante,V,3.0,0.0,Juventude,42.0,3.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/2091c619.png
Atl Paranaense,2021-05-30, 1,Em casa,V,1.0,0.0,América (MG),56.0,1.0,
Atl Goianiense,2021-06-05, 2,Em casa,V,2.0,0.0,São Paulo,38.0,2.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/32d508ca.png
Atl Goianiense,2021-05-30, 1,Visitante,V,1.0,0.0,Corinthians,40.0,1.0,
Bahia,2021-06-05, 2,Visitante,E,3.0,3.0,Bragantino,39.0,6.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/157b7fee.png
Bahia,2021-05-29, 1,Em casa,V,3.0,0.0,Santos,35.0,3.0,
Bragantino,2021-06-05, 2,Em casa,E,3.0,3.0,Bahia,61.0,6.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/f98930d1.png
Bragantino,2021-05-30, 1,Visitante,V,3.0,0.0,Chapecoense,56.0,3.0,
Palmeiras,2021-06-12, 3,Em casa,E,1.0,1.0,Corinthians,52.0,2.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/abdce579.png
Palmeiras,2021-06-06, 2,Em casa,V,3.0,1.0,Chapecoense,66.0,4.0,
Palmeiras,2021-05-30, 1,Visitante,D,0.0,1.0,Flamengo,38.0,1.0,
Fluminense,2021-06-06, 2,Em casa,V,1.0,0.0,Cuiabá,45.0,1.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/84d9701c.png
Fluminense,2021-05-29, 1,Visitante,E,0.0,0.0,São Paulo,29.0,0.0,
Corinthians,2021-06-12, 3,Visitante,E,1.0,1.0,Palmeiras,48.0,2.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/bf4acd28.png
Corinthians,2021-06-06, 2,Visitante,V,1.0,0.0,América (MG),44.0,1.0,
Corinthians,2021-05-30, 1,Em casa,D,0.0,1.0,Atl Goianiense,61.0,1.0,
Santos,2021-06-12, 3,Em casa,E,0.0,0.0,Juventude,75.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/712c528f.png
Santos,2021-06-05, 2,Em casa,V,3.0,1.0,Ceará,57.0,4.0,
Santos,2021-05-29, 1,Visitante,D,0.0,3.0,Bahia,66.0,3.0,
Flamengo,2021-05-30, 1,Em casa,V,1.0,0.0,Palmeiras,62.0,1.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/639950ae.png
Atlético Mineiro,2021-06-06, 2,Visitante,V,1.0,0.0,Sport Recife,51.0,1.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/422bb734.png
Atlético Mineiro,2021-05-30, 1,Em casa,D,1.0,2.0,Fortaleza,54.0,3.0,
Ceará,2021-06-05, 2,Visitante,D,1.0,3.0,Santos,43.0,4.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/2f335e17.png
Ceará,2021-05-30, 1,Em casa,V,3.0,2.0,Grêmio,35.0,5.0,
Juventude,2021-06-12, 3,Visitante,E,0.0,0.0,Santos,25.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/d081b697.png
Juventude,2021-06-06, 2,Em casa,D,0.0,3.0,Atl Paranaense,59.0,3.0,
Juventude,2021-05-29, 1,Visitante,E,2.0,2.0,Cuiabá,41.0,4.0,
Sport Recife,2021-06-06, 2,Em casa,D,0.0,1.0,Atlético Mineiro,49.0,1.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/ece66b78.png
Sport Recife,2021-05-30, 1,Visitante,E,2.0,2.0,Internacional,43.0,4.0,
Cuiabá,2021-06-06, 2,Visitante,D,0.0,1.0,Fluminense,55.0,1.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/f0e6fb14.png
Cuiabá,2021-05-29, 1,Em casa,E,2.0,2.0,Juventude,59.0,4.0,
São Paulo,2021-06-05, 2,Visitante,D,0.0,2.0,Atl Goianiense,62.0,2.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/5f232eb1.png
São Paulo,2021-05-29, 1,Em casa,E,0.0,0.0,Fluminense,71.0,0.0,
Internacional,2021-06-06, 2,Visitante,D,1.0,5.0,Fortaleza,48.0,6.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/6f7e1f03.png
Internacional,2021-05-30, 1,Em casa,E,2.0,2.0,Sport Recife,57.0,4.0,
Grêmio,2021-05-30, 1,Visitante,D,2.0,3.0,Ceará,65.0,5.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/d5ae3703.png
