posicao,equipe,n_jogos,vitorias,empates,derrotas,gols_marcados,gols_sofridos,saldo_gols,pontos,ultimos_5
1,Fortaleza,2,2,0,0,7,2,5,6,V V
2,Atl Paranaense,2,2,0,0,4,0,4,6,V V
3,Atl Goianiense,2,2,0,0,3,0,3,6,V V
4,Bahia,2,1,1,0,6,3,3,4,V E
5,Bragantino,2,1,1,0,6,3,3,4,V E
6,Palmeiras,3,1,1,1,4,3,1,4,D V E
7,Fluminense,2,1,1,0,1,0,1,4,E V
8,Corinthians,3,1,1,1,2,2,0,4,D V E
9,Santos,3,1,1,1,3,4,-1,4,D V E
10,Flamengo,1,1,0,0,1,0,1,3,V
11,Atlético Mineiro,2,1,0,1,2,2,0,3,D V
12,Ceará,2,1,0,1,4,5,-1,3,V D
13,Juventude,3,0,2,1,2,5,-3,2,E D E
14,Sport Recife,2,0,1,1,2,3,-1,1,E D
15,Cuiabá,2,0,1,1,2,3,-1,1,E D
16,São Paulo,2,0,1,1,0,2,-2,1,E D
17,Internacional,2,0,1,1,3,7,-4,1,E D
18,Grêmio,1,0,0,1,2,3,-1,0,D
19,América (MG),2,0,0,2,0,2,-2,0,D D
20,Chapecoense,2,0,0,2,1,6,-5,0,D D
