data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2020-12-06,Hoffenheim,RB Leipzig,0,2,Vitória Visitante,0,2,A,22,14,7,7,9,1,15,18,2,2,0,0,10,2,2,2,4
2020-11-03,M'gladbach,FC Koln,2,1,Vitória Mandante,1,0,H,12,16,5,3,6,3,14,14,1,2,0,0,9,3,1,2,3
2020-09-02,Bayern Munich,RB Leipzig,0,0,Empate,0,0,D,10,8,3,1,11,3,8,12,2,2,0,0,14,0,2,2,4
2020-08-03,Mainz,Fortuna Dusseldorf,1,1,Empate,0,0,D,3,20,1,5,1,8,17,10,3,1,1,0,9,2,4,1,5
2020-08-03,Bayern Munich,Augsburg,2,0,Vitória Mandante,0,0,D,17,8,6,2,9,4,4,7,1,0,0,0,13,2,1,0,1
2020-08-02,Hertha,Mainz,1,3,Vitória Visitante,0,1,A,13,10,3,3,10,1,13,16,4,1,1,0,11,4,5,1,6
2020-08-02,Wolfsburg,Fortuna Dusseldorf,1,1,Empate,0,1,A,9,10,5,2,3,5,10,14,0,1,1,0,8,2,1,1,2
2020-08-02,Werder Bremen,Union Berlin,0,2,Vitória Visitante,0,0,D,14,11,3,5,5,5,7,16,4,3,0,0,10,2,4,3,7
2020-08-02,Schalke 04,Paderborn,1,1,Empate,0,0,D,15,15,4,4,11,10,6,8,2,3,0,0,21,2,2,3,5
2020-08-02,Leverkusen,Dortmund,4,3,Vitória Mandante,2,2,D,9,12,5,6,3,7,9,10,2,1,0,0,10,7,2,1,3
2020-08-02,Freiburg,Hoffenheim,1,0,Vitória Mandante,1,0,H,12,21,6,6,5,10,10,13,3,3,0,0,15,1,3,3,6
2020-07-06,Werder Bremen,Wolfsburg,0,1,Vitória Visitante,0,0,D,14,18,4,3,5,4,17,13,3,3,0,0,9,1,3,3,6
2020-07-06,Augsburg,FC Koln,1,1,Empate,0,0,D,18,9,5,2,9,2,13,21,1,3,0,0,11,2,1,3,4
2020-07-06,Union Berlin,Schalke 04,1,1,Empate,1,1,D,12,5,6,1,9,4,19,13,3,1,0,0,13,2,3,1,4
2020-07-03,Freiburg,Union Berlin,3,1,Vitória Mandante,1,0,H,9,14,4,4,7,2,5,20,2,3,0,1,9,4,2,4,6
2020-07-03,Leverkusen,Ein Frankfurt,4,0,Vitória Mandante,2,0,H,14,9,5,3,1,3,10,12,1,0,0,0,4,4,1,0,1
2020-07-03,Schalke 04,Hoffenheim,1,1,Empate,1,0,H,14,4,4,1,4,5,8,12,0,1,0,0,9,2,0,1,1
2020-07-03,Wolfsburg,RB Leipzig,0,0,Empate,0,0,D,16,15,4,4,4,4,11,14,2,3,0,0,8,0,2,3,5
2020-07-03,M'gladbach,Dortmund,1,2,Vitória Visitante,0,1,A,10,10,3,4,3,3,8,9,5,5,0,0,6,3,5,5,10
2020-07-03,Hertha,Werder Bremen,2,2,Empate,1,2,A,19,7,5,3,3,1,16,5,3,3,0,0,4,4,3,3,6
2020-07-02,Ein Frankfurt,Augsburg,5,0,Vitória Mandante,1,0,H,13,8,9,5,1,4,7,5,1,0,0,0,5,5,1,0,1
2020-06-27,Ein Frankfurt,Paderborn,3,2,Vitória Mandante,2,0,H,12,16,4,5,6,2,13,3,0,1,0,0,8,5,0,1,1
2020-06-27,Wolfsburg,Bayern Munich,0,4,Vitória Visitante,0,2,A,11,17,4,11,3,6,13,9,3,0,1,0,9,4,4,0,4
2020-06-27,M'gladbach,Hertha,2,1,Vitória Mandante,1,0,H,22,4,8,2,3,3,7,15,1,2,0,0,6,3,1,2,3
2020-06-27,Union Berlin,Fortuna Dusseldorf,3,0,Vitória Mandante,1,0,H,11,25,7,4,6,10,15,6,0,1,0,0,16,3,0,1,1
2020-06-27,Leverkusen,Mainz,1,0,Vitória Mandante,1,0,H,13,6,2,1,11,4,10,10,1,1,0,0,15,1,1,1,2
