clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Bayern Munich,2021-04-17,29,Visitante,V,3.0,2.0,Wolfsburg,53.0,5.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/054efa67.png
Bayern Munich,2021-04-10,28,Em casa,E,1.0,1.0,Union Berlin,60.0,2.0,
Bayern Munich,2021-04-03,27,Visitante,V,1.0,0.0,RB Leipzig,47.0,1.0,
Bayern Munich,2021-03-20,26,Em casa,V,4.0,0.0,Stuttgart,42.0,4.0,
Bayern Munich,2021-03-13,25,Visitante,V,3.0,1.0,Werder Bremen,56.0,4.0,
Bayern Munich,2021-03-06,24,Em casa,V,4.0,2.0,Dortmund,66.0,6.0,
Bayern Munich,2021-02-27,23,Em casa,V,5.0,1.0,Köln,55.0,6.0,
Bayern Munich,2021-02-20,22,Visitante,D,1.0,2.0,Eint Frankfurt,59.0,3.0,
Bayern Munich,2021-02-15,21,Em casa,E,3.0,3.0,Arminia,64.0,6.0,
Bayern Munich,2021-02-05,20,Visitante,V,1.0,0.0,Hertha BSC,62.0,1.0,
Bayern Munich,2021-01-30,19,Em casa,V,4.0,1.0,Hoffenheim,61.0,5.0,
Bayern Munich,2021-01-24,18,Visitante,V,4.0,0.0,Schalke 04,59.0,4.0,
Bayern Munich,2021-01-20,17,Visitante,V,1.0,0.0,Augsburg,61.0,1.0,
Bayern Munich,2021-01-17,16,Em casa,V,2.0,1.0,Freiburg,59.0,3.0,
Bayern Munich,2021-01-08,15,Visitante,D,2.0,3.0,M'Gladbach,67.0,5.0,
Bayern Munich,2021-01-03,14,Em casa,V,5.0,2.0,Mainz 05,73.0,7.0,
Bayern Munich,2020-12-19,13,Visitante,V,2.0,1.0,Leverkusen,49.0,3.0,
Bayern Munich,2020-12-16,12,Em casa,V,2.0,1.0,Wolfsburg,58.0,3.0,
Bayern Munich,2020-12-12,11,Visitante,E,1.0,1.0,Union Berlin,67.0,2.0,
Bayern Munich,2020-12-05,10,Em casa,E,3.0,3.0,RB Leipzig,61.0,6.0,
Bayern Munich,2020-11-28, 9,Visitante,V,3.0,1.0,Stuttgart,57.0,4.0,
Bayern Munich,2020-11-21, 8,Em casa,E,1.0,1.0,Werder Bremen,70.0,2.0,
Bayern Munich,2020-11-07, 7,Visitante,V,3.0,2.0,Dortmund,49.0,5.0,
Bayern Munich,2020-10-31, 6,Visitante,V,2.0,1.0,Köln,62.0,3.0,
Bayern Munich,2020-10-24, 5,Em casa,V,5.0,0.0,Eint Frankfurt,61.0,5.0,
Bayern Munich,2020-10-17, 4,Visitante,V,4.0,1.0,Arminia,65.0,5.0,
Bayern Munich,2020-10-04, 3,Em casa,V,4.0,3.0,Hertha BSC,65.0,7.0,
Bayern Munich,2020-09-27, 2,Visitante,D,1.0,4.0,Hoffenheim,71.0,5.0,
Bayern Munich,2020-09-18, 1,Em casa,V,8.0,0.0,Schalke 04,63.0,8.0,
RB Leipzig,2021-04-16,29,Em casa,E,0.0,0.0,Hoffenheim,64.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/acbb6a5b.png
RB Leipzig,2021-04-10,28,Visitante,V,4.0,1.0,Werder Bremen,63.0,5.0,
RB Leipzig,2021-04-03,27,Em casa,D,0.0,1.0,Bayern Munich,53.0,1.0,
RB Leipzig,2021-03-19,26,Visitante,V,1.0,0.0,Arminia,80.0,1.0,
RB Leipzig,2021-03-14,25,Em casa,E,1.0,1.0,Eint Frankfurt,57.0,2.0,
RB Leipzig,2021-03-06,24,Visitante,V,3.0,0.0,Freiburg,58.0,3.0,
RB Leipzig,2021-02-27,23,Em casa,V,3.0,2.0,M'Gladbach,66.0,5.0,
RB Leipzig,2021-02-21,22,Visitante,V,3.0,0.0,Hertha BSC,52.0,3.0,
RB Leipzig,2021-02-12,21,Em casa,V,2.0,1.0,Augsburg,60.0,3.0,
RB Leipzig,2021-02-06,20,Visitante,V,3.0,0.0,Schalke 04,65.0,3.0,
RB Leipzig,2021-01-30,19,Em casa,V,1.0,0.0,Leverkusen,46.0,1.0,
RB Leipzig,2021-01-23,18,Visitante,D,2.0,3.0,Mainz 05,67.0,5.0,
RB Leipzig,2021-01-20,17,Em casa,V,1.0,0.0,Union Berlin,67.0,1.0,
RB Leipzig,2021-01-16,16,Visitante,E,2.0,2.0,Wolfsburg,52.0,4.0,
RB Leipzig,2021-01-09,15,Em casa,D,1.0,3.0,Dortmund,55.0,4.0,
RB Leipzig,2021-01-02,14,Visitante,V,1.0,0.0,Stuttgart,55.0,1.0,
RB Leipzig,2020-12-19,13,Em casa,E,0.0,0.0,Köln,63.0,0.0,
RB Leipzig,2020-12-16,12,Visitante,V,1.0,0.0,Hoffenheim,55.0,1.0,
RB Leipzig,2020-12-12,11,Em casa,V,2.0,0.0,Werder Bremen,55.0,2.0,
RB Leipzig,2020-12-05,10,Visitante,E,3.0,3.0,Bayern Munich,39.0,6.0,
RB Leipzig,2020-11-28, 9,Em casa,V,2.0,1.0,Arminia,57.0,3.0,
RB Leipzig,2020-11-21, 8,Visitante,E,1.0,1.0,Eint Frankfurt,62.0,2.0,
RB Leipzig,2020-11-07, 7,Em casa,V,3.0,0.0,Freiburg,56.0,3.0,
RB Leipzig,2020-10-31, 6,Visitante,D,0.0,1.0,M'Gladbach,52.0,1.0,
RB Leipzig,2020-10-24, 5,Em casa,V,2.0,1.0,Hertha BSC,67.0,3.0,
RB Leipzig,2020-10-17, 4,Visitante,V,2.0,0.0,Augsburg,68.0,2.0,
RB Leipzig,2020-10-03, 3,Em casa,V,4.0,0.0,Schalke 04,67.0,4.0,
RB Leipzig,2020-09-26, 2,Visitante,E,1.0,1.0,Leverkusen,42.0,2.0,
RB Leipzig,2020-09-20, 1,Em casa,V,3.0,1.0,Mainz 05,72.0,4.0,
Wolfsburg,2021-04-17,29,Em casa,D,2.0,3.0,Bayern Munich,47.0,5.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/4eaa11d7.png
Wolfsburg,2021-04-10,28,Visitante,D,3.0,4.0,Eint Frankfurt,55.0,7.0,
Wolfsburg,2021-04-03,27,Em casa,V,1.0,0.0,Köln,52.0,1.0,
Wolfsburg,2021-03-20,26,Visitante,V,2.0,1.0,Werder Bremen,50.0,3.0,
Wolfsburg,2021-03-13,25,Em casa,V,5.0,0.0,Schalke 04,53.0,5.0,
Wolfsburg,2021-03-06,24,Visitante,D,1.0,2.0,Hoffenheim,60.0,3.0,
Wolfsburg,2021-02-27,23,Em casa,V,2.0,0.0,Hertha BSC,57.0,2.0,
Wolfsburg,2021-02-19,22,Visitante,V,3.0,0.0,Arminia,56.0,3.0,
Wolfsburg,2021-02-14,21,Em casa,E,0.0,0.0,M'Gladbach,55.0,0.0,
Wolfsburg,2021-02-06,20,Visitante,V,2.0,0.0,Augsburg,54.0,2.0,
Wolfsburg,2021-01-31,19,Em casa,V,3.0,0.0,Freiburg,45.0,3.0,
Wolfsburg,2021-01-23,18,Visitante,V,1.0,0.0,Leverkusen,36.0,1.0,
Wolfsburg,2021-01-19,17,Visitante,V,2.0,0.0,Mainz 05,62.0,2.0,
Wolfsburg,2021-01-16,16,Em casa,E,2.0,2.0,RB Leipzig,48.0,4.0,
