posicao,equipe,n_jogos,vitorias,empates,derrotas,gols_marcados,gols_sofridos,saldo_gols,pontos,ultimos_5
1,Bayern Munich,29,21,5,3,83,38,45,68,V V V E V
2,RB Leipzig,29,18,7,4,52,23,29,61,E V D V E
3,Wolfsburg,29,15,9,5,51,29,22,54,V V V D D
4,Eint Frankfurt,29,14,11,4,59,44,15,53,E V V V D
5,Leverkusen,29,13,8,8,48,32,16,47,D D V E V
6,Dortmund,28,14,4,10,58,41,17,46,D V E D V
7,M'Gladbach,29,11,10,8,52,43,9,43,D V V E V
8,Union Berlin,29,10,13,6,44,35,9,43,V D E E V
9,Freiburg,29,11,7,11,44,42,2,40,D V D D V
10,Stuttgart,29,10,9,10,51,46,5,39,V D V D D
11,Augsburg,29,9,6,14,29,42,-13,33,V D V D E
12,Hoffenheim,29,8,8,13,41,47,-6,32,D D D E E
13,Werder Bremen,28,7,9,12,32,43,-11,30,V D D D D
14,Mainz 05,28,7,7,14,30,48,-18,28,E V V E V
15,Arminia,29,7,6,16,22,46,-24,27,V D E V E
16,Hertha BSC,28,6,8,14,34,48,-14,26,V D V E E
17,Köln,29,5,8,16,27,53,-26,23,D E D D D
18,Schalke 04,29,2,7,20,18,75,-57,13,D D D V D
