,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
1,Bayern Munich,2020-09-18,Em casa,V,8.0,0.0,Schalke 04,63.0,8.0,9,87.5,20,10,50.0,70,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/054efa67.png
2,Bayern Munich,2020-09-27,Visitante,D,1.0,4.0,Hoffenheim,71.0,5.0,5,84.0,16,3,18.8,33,
3,Bayern Munich,2020-10-04,Em casa,V,4.0,3.0,Hertha BSC,65.0,7.0,6,83.3,21,8,38.1,38,
4,Bayern Munich,2020-10-17,Visitante,V,4.0,1.0,Arminia,65.0,5.0,10,88.1,18,10,55.6,40,
5,Bayern Munich,2020-10-24,Em casa,V,5.0,0.0,Eint Frankfurt,61.0,5.0,10,85.6,20,9,45.0,56,
6,Bayern Munich,2020-10-31,Visitante,V,2.0,1.0,Köln,62.0,3.0,1,85.1,4,3,75.0,33,
7,Bayern Munich,2020-11-07,Visitante,V,3.0,2.0,Dortmund,49.0,5.0,3,77.7,15,7,46.7,43,
8,Bayern Munich,2020-11-21,Em casa,E,1.0,1.0,Werder Bremen,70.0,2.0,7,85.3,16,2,12.5,50,
9,Bayern Munich,2020-11-28,Visitante,V,3.0,1.0,Stuttgart,57.0,4.0,3,81.0,13,6,46.2,50,
10,Bayern Munich,2020-12-05,Em casa,E,3.0,3.0,RB Leipzig,61.0,6.0,10,78.9,9,5,55.6,60,
11,Bayern Munich,2020-12-12,Visitante,E,1.0,1.0,Union Berlin,67.0,2.0,7,81.3,12,5,41.7,20,
12,Bayern Munich,2020-12-16,Em casa,V,2.0,1.0,Wolfsburg,58.0,3.0,7,81.4,11,2,18.2,100,
13,Bayern Munich,2020-12-19,Visitante,V,2.0,1.0,Leverkusen,49.0,3.0,7,78.5,14,3,21.4,67,
14,Bayern Munich,2021-01-03,Em casa,V,5.0,2.0,Mainz 05,73.0,7.0,10,87.4,17,11,64.7,36,
