Posição,Equipe,Nº Jogos,Vitórias,Empates,Derrotas,Gols Marcados,Gols Sofridos,Saldo de Gols,Pontos,Últimos 5
1,Bayern Munich,25,18,4,3,74,35,39,58,D L W W W
2,RB Leipzig,25,16,6,3,47,21,26,54,W W W W D
3,Wolfsburg,25,13,9,3,43,21,22,48,D W W L W
4,Eint Frankfurt,25,11,11,3,48,34,14,44,W W L D D
5,Dortmund,25,13,3,9,52,35,17,42,D W W L W
6,Leverkusen,25,11,7,7,43,28,15,40,D D L W L
7,Union Berlin,25,9,11,5,38,27,11,38,D W D D W
8,Stuttgart,25,9,9,7,47,37,10,36,D W W D W
9,Freiburg,25,9,7,9,37,39,-2,34,D L W L L
10,M'Gladbach,25,8,9,8,41,40,1,33,D L L L L
11,Hoffenheim,25,8,6,11,39,43,-4,30,D W D W L
12,Werder Bremen,25,7,9,9,30,36,-6,30,L W D W L
13,Augsburg,25,8,5,12,27,38,-11,29,L D W L W
14,Köln,25,5,7,13,23,44,-21,22,L L L D L
15,Arminia,25,6,4,15,20,44,-24,22,L L D L W
16,Hertha BSC,25,5,6,14,28,45,-17,21,D L L W L
17,Mainz 05,25,5,6,14,24,44,-20,21,D W L D W
18,Schalke 04,25,1,7,17,16,66,-50,10,D L L D L
