data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-03,Reims,Lyon,1,1,Empate,1,0,H,14,17,5,6,2,5,11,12,3,1,0,0,7,2,3,1,4
2021-11-04,Saint-Étienne,Bordeaux,4,1,Vitória Mandante,2,1,H,17,10,7,2,5,6,12,17,3,0,0,0,11,5,3,0,3
2021-11-04,Monaco,Dijon,3,0,Vitória Mandante,0,0,D,16,6,10,1,6,4,10,16,1,1,0,0,10,3,1,1,2
2021-11-04,Lyon,Angers,3,0,Vitória Mandante,2,0,H,16,11,6,3,5,4,15,14,0,0,0,0,9,3,0,0,0
2021-11-04,Nice,Reims,0,0,Empate,0,0,D,13,10,2,1,10,6,13,11,0,1,0,0,16,0,0,1,1
2021-11-04,Lens,Lorient,4,1,Vitória Mandante,2,1,H,14,17,6,6,5,10,11,8,0,0,0,0,15,5,0,0,0
2021-11-04,Brest,Nîmes,1,1,Empate,1,1,D,22,5,4,3,9,2,15,16,4,1,0,0,11,2,4,1,5
2021-11-04,Rennes,Nantes,1,0,Vitória Mandante,0,0,D,14,4,4,2,3,3,16,15,6,2,0,0,6,1,6,2,8
2021-10-04,Montpellier,Marseille,3,3,Empate,1,2,A,20,13,7,8,6,3,17,12,2,2,0,1,9,6,2,3,5
2021-10-04,Strasbourg,Paris S-G,1,4,Vitória Visitante,0,3,A,9,16,3,7,5,4,8,6,0,1,0,0,9,5,0,1,1
2021-10-03,Marseille,Rennes,1,0,Vitória Mandante,0,0,D,9,10,2,2,3,4,15,19,2,4,0,0,7,1,2,4,6
2021-09-05,Strasbourg,Montpellier,2,3,Vitória Visitante,0,1,A,18,6,7,3,4,6,16,16,2,3,0,0,10,5,2,3,5
2021-09-05,Reims,Monaco,0,1,Vitória Visitante,0,1,A,8,7,2,2,3,3,11,13,1,3,0,0,6,1,1,3,4
2021-09-05,Rennes,Paris S-G,1,1,Empate,0,1,A,19,12,10,4,9,3,12,11,4,1,0,1,12,2,4,2,6
2021-09-05,Nice,Brest,3,2,Vitória Mandante,1,2,A,14,9,5,2,6,5,8,11,1,1,1,0,11,5,2,1,3
2021-09-05,Metz,Nîmes,0,3,Vitória Visitante,0,0,D,11,10,2,5,0,6,13,12,1,2,0,0,6,3,1,2,3
2021-09-05,Angers,Dijon,3,0,Vitória Mandante,1,0,H,11,5,4,1,1,4,8,11,0,0,0,0,5,3,0,0,0
2021-09-05,Saint-Étienne,Marseille,1,0,Vitória Mandante,1,0,H,18,15,5,4,10,4,22,12,1,3,0,0,14,1,1,3,4
2021-09-04,Metz,Lille,0,2,Vitória Visitante,0,0,D,18,9,7,6,10,2,16,13,2,2,0,0,12,2,2,2,4
2021-09-01,Rennes,Lyon,2,2,Empate,1,0,H,14,13,6,4,2,5,12,16,1,2,0,0,7,4,1,2,3
2021-09-01,Reims,Saint-Étienne,3,1,Vitória Mandante,2,0,H,7,14,3,6,0,3,19,17,2,4,0,0,3,4,2,4,6
2021-09-01,Paris S-G,Brest,3,0,Vitória Mandante,1,0,H,22,12,11,2,7,4,7,13,1,1,0,0,11,3,1,1,2
2021-09-01,Nîmes,Lille,0,1,Vitória Visitante,0,1,A,7,10,0,2,2,3,12,13,0,3,0,0,5,1,0,3,3
2021-09-01,Montpellier,Nantes,1,1,Empate,1,0,H,8,12,6,3,1,8,18,11,5,0,0,0,9,2,5,0,5
2021-09-01,Monaco,Angers,3,0,Vitória Mandante,1,0,H,14,6,5,2,5,2,9,10,2,0,0,0,7,3,2,0,2
2021-09-01,Metz,Nice,1,1,Empate,0,1,A,16,11,5,4,5,2,19,8,2,2,0,0,7,2,2,2,4
2021-09-01,Lens,Strasbourg,0,1,Vitória Visitante,0,1,A,11,10,2,4,4,4,16,15,1,1,0,0,8,1,1,1,2
2021-09-01,Dijon,Marseille,0,0,Empate,0,0,D,5,11,0,4,0,6,13,13,3,2,0,0,6,0,3,2,5
2021-09-01,Bordeaux,Lorient,2,1,Vitória Mandante,2,1,H,16,12,6,4,5,3,10,10,2,0,0,0,8,3,2,0,2
2021-08-05,Lyon,Lorient,4,1,Vitória Mandante,0,0,D,25,8,11,2,5,1,17,10,2,2,0,0,6,5,2,2,4
2021-08-05,Nantes,Bordeaux,3,0,Vitória Mandante,1,0,H,11,10,3,2,5,2,13,20,0,5,0,0,7,3,0,5,5
2021-07-05,Lens,Lille,0,3,Vitória Visitante,0,2,A,11,11,5,6,5,4,15,9,3,2,1,0,9,3,4,2,6
2021-07-02,Brest,Bordeaux,2,1,Vitória Mandante,0,0,D,24,8,6,4,6,4,11,15,1,3,0,0,10,3,1,3,4
2021-07-02,Montpellier,Dijon,4,2,Vitória Mandante,0,1,A,25,13,11,5,9,4,12,14,3,3,0,1,13,6,3,4,7
2021-07-02,Nice,Angers,3,0,Vitória Mandante,2,0,H,11,10,2,3,5,9,11,9,2,1,0,0,14,3,2,1,3
2021-07-02,Nîmes,Monaco,3,4,Vitória Visitante,2,2,D,9,11,4,5,5,6,12,16,2,2,0,0,11,7,2,2,4
2021-07-02,Saint-Étienne,Metz,1,0,Vitória Mandante,1,0,H,12,10,3,0,8,2,9,9,2,2,0,0,10,1,2,2,4
2021-07-02,Marseille,Paris S-G,0,2,Vitória Visitante,0,2,A,12,9,4,2,7,1,12,12,1,2,1,0,8,2,2,2,4
2021-07-02,Nantes,Lille,0,2,Vitória Visitante,0,1,A,6,14,1,3,4,2,13,13,3,0,0,0,6,2,3,0,3
2021-06-02,Lyon,Strasbourg,3,0,Vitória Mandante,2,0,H,16,8,8,1,6,2,7,10,2,2,0,1,8,3,2,3,5
2021-06-02,Lorient,Reims,1,0,Vitória Mandante,0,0,D,10,13,4,3,2,5,12,12,0,4,0,0,7,1,0,4,4
2021-06-02,Lens,Rennes,0,0,Empate,0,0,D,10,10,3,1,6,4,13,11,2,4,0,0,10,0,2,4,6
2021-06-01,Lille,Angers,1,2,Vitória Visitante,1,2,A,7,7,2,3,8,6,12,10,3,1,0,0,14,3,3,1,4
2021-06-01,Strasbourg,Nîmes,5,0,Vitória Mandante,3,0,H,21,6,12,2,10,5,12,6,1,2,0,0,15,5,1,2,3
2021-06-01,Nantes,Rennes,0,0,Empate,0,0,D,7,8,2,0,6,3,13,13,2,2,0,0,9,0,2,2,4
2021-06-01,Metz,Bordeaux,0,0,Empate,0,0,D,9,12,3,3,3,2,10,20,1,2,0,0,5,0,1,2,3
2021-06-01,Lorient,Monaco,2,5,Vitória Visitante,1,1,D,11,16,5,9,5,8,9,9,1,3,1,0,13,7,2,3,5
2021-06-01,Brest,Nice,2,0,Vitória Mandante,2,0,H,10,12,6,6,6,6,12,8,2,3,0,0,12,2,2,3,5
2021-06-01,Marseille,Montpellier,3,1,Vitória Mandante,1,0,H,18,13,8,5,5,1,4,6,0,0,0,0,6,4,0,0,0
2021-06-01,Reims,Dijon,0,0,Empate,0,0,D,9,8,3,0,7,5,13,8,2,3,0,0,12,0,2,3,5
2021-06-01,Saint-Étienne,Paris S-G,1,1,Empate,1,1,D,11,10,5,4,9,10,13,12,1,1,0,0,19,2,1,1,2
2021-06-01,Lyon,Lens,3,2,Vitória Mandante,1,0,H,11,10,6,2,7,4,7,10,1,2,0,0,11,5,1,2,3
2021-05-23,Lyon,Nice,2,3,Vitória Visitante,2,1,H,12,14,6,6,6,6,8,10,1,2,0,0,12,5,1,2,3
2021-05-23,Lens,Monaco,0,0,Empate,0,0,D,4,19,1,3,2,7,16,6,3,2,0,0,9,0,3,2,5
2021-05-23,Brest,Paris S-G,0,2,Vitória Visitante,0,1,A,6,9,5,4,5,4,7,6,1,2,0,0,9,2,1,2,3
2021-05-23,Angers,Lille,1,2,Vitória Visitante,0,2,A,10,5,4,2,4,2,10,14,0,2,0,0,6,3,0,2,2
2021-05-23,Strasbourg,Lorient,1,1,Empate,1,0,H,6,7,2,1,2,3,17,9,1,1,0,0,5,2,1,1,2
2021-05-23,Saint-Étienne,Dijon,0,1,Vitória Visitante,0,1,A,19,10,5,2,9,3,13,10,1,0,0,0,12,1,1,0,1
2021-05-23,Rennes,Nîmes,2,0,Vitória Mandante,1,0,H,13,9,6,2,4,3,11,10,1,0,0,0,7,2,1,0,1
2021-05-23,Reims,Bordeaux,1,2,Vitória Visitante,1,1,D,10,12,3,5,5,2,11,6,1,1,0,0,7,3,1,1,2
2021-05-23,Nantes,Montpellier,1,2,Vitória Visitante,1,1,D,15,8,5,5,9,5,8,11,2,2,0,0,14,3,2,2,4
2021-05-23,Metz,Marseille,1,1,Empate,0,0,D,10,9,3,2,1,10,14,9,3,2,0,0,11,2,3,2,5
2021-05-16,Monaco,Rennes,2,1,Vitória Mandante,2,0,H,11,9,3,2,4,4,12,14,2,2,0,1,8,3,2,3,5
2021-05-16,Montpellier,Brest,0,0,Empate,0,0,D,4,22,2,9,1,11,18,13,0,3,1,0,12,0,1,3,4
2021-05-16,Nîmes,Lyon,2,5,Vitória Visitante,1,3,A,8,21,4,13,3,6,7,13,0,0,0,0,9,7,0,0,0
2021-05-16,Nice,Strasbourg,0,2,Vitória Visitante,0,1,A,7,11,3,5,4,4,9,10,2,1,0,0,8,2,2,1,3
2021-05-16,Paris S-G,Reims,4,0,Vitória Mandante,2,0,H,28,2,10,0,9,5,14,4,0,0,0,1,14,4,0,1,1
2021-05-16,Marseille,Angers,3,2,Vitória Mandante,1,0,H,16,11,11,5,3,4,16,12,3,2,0,0,7,5,3,2,5
2021-05-16,Lorient,Metz,2,1,Vitória Mandante,1,0,H,6,3,2,1,2,1,16,19,1,4,0,0,3,3,1,4,5
2021-05-16,Lille,Saint-Étienne,0,0,Empate,0,0,D,14,8,3,1,3,6,11,14,1,2,0,0,9,0,1,2,3
2021-05-16,Dijon,Nantes,0,4,Vitória Visitante,0,2,A,10,16,1,4,3,6,12,10,2,1,0,0,9,4,2,1,3
2021-05-16,Bordeaux,Lens,3,0,Vitória Mandante,1,0,H,11,14,4,4,1,6,16,15,2,2,0,0,7,3,2,2,4
2021-04-30,Marseille,Strasbourg,1,1,Empate,0,0,D,8,8,4,5,5,6,10,14,4,2,0,0,11,2,4,2,6
2021-04-25,Angers,Monaco,0,1,Vitória Visitante,0,0,D,4,10,0,3,4,1,18,11,2,2,0,0,5,1,2,2,4
2021-04-25,Lyon,Lille,2,3,Vitória Visitante,2,1,H,7,16,2,7,8,4,9,13,0,3,0,0,12,5,0,3,3
2021-04-25,Strasbourg,Nantes,1,2,Vitória Visitante,1,0,H,12,7,4,5,6,4,15,13,1,3,0,0,10,3,1,3,4
2021-04-25,Rennes,Dijon,5,1,Vitória Mandante,1,1,D,25,4,12,1,8,2,13,8,6,3,0,0,10,6,6,3,9
2021-04-25,Lorient,Bordeaux,4,1,Vitória Mandante,3,0,H,13,13,7,7,6,3,9,14,2,3,0,0,9,5,2,3,5
2021-04-25,Lens,Nîmes,2,1,Vitória Mandante,1,0,H,7,16,4,2,4,6,14,15,1,2,1,0,10,3,2,2,4
2021-04-25,Nice,Montpellier,3,1,Vitória Mandante,3,1,H,18,14,8,3,7,6,13,17,1,2,0,0,13,4,1,2,3
2021-04-24,Metz,Paris S-G,1,3,Vitória Visitante,0,1,A,8,19,3,8,1,9,12,12,1,4,0,0,10,4,1,4,5
2021-04-24,Saint-Étienne,Brest,1,2,Vitória Visitante,1,0,H,6,12,3,7,3,2,17,11,2,1,0,0,5,3,2,1,3
2021-04-23,Reims,Marseille,1,3,Vitória Visitante,1,2,A,10,11,1,6,5,2,9,2,2,0,1,0,7,4,3,0,3
2021-04-18,Bordeaux,Monaco,0,3,Vitória Visitante,0,1,A,7,13,2,6,4,5,13,11,4,1,1,0,9,3,5,1,6
2021-04-18,Nîmes,Strasbourg,1,1,Empate,0,0,D,5,7,1,3,2,1,10,17,0,2,0,1,3,2,0,3,3
2021-04-18,Paris S-G,Saint-Étienne,3,2,Vitória Mandante,0,0,D,17,7,5,5,13,3,13,15,1,1,0,0,16,5,1,1,2
2021-04-18,Brest,Lens,1,1,Empate,1,0,H,7,8,5,2,2,4,14,16,2,7,1,2,6,2,3,9,12
2021-04-18,Dijon,Nice,2,0,Vitória Mandante,0,0,D,9,10,3,2,1,9,8,13,1,1,0,0,10,2,1,1,2
2021-04-18,Nantes,Lyon,1,2,Vitória Visitante,0,2,A,12,11,3,4,5,4,16,10,0,1,0,0,9,3,0,1,1
2021-04-18,Reims,Metz,0,0,Empate,0,0,D,15,11,6,2,10,4,13,17,3,1,0,0,14,0,3,1,4
2021-04-17,Marseille,Lorient,3,2,Vitória Mandante,0,1,A,13,12,5,6,8,3,9,15,1,0,0,0,11,5,1,0,1
2021-04-17,Angers,Rennes,0,3,Vitória Visitante,0,1,A,10,9,3,3,2,3,11,10,2,0,0,0,5,3,2,0,2
2021-04-16,Lille,Montpellier,1,1,Empate,0,1,A,20,10,9,4,9,0,14,11,3,1,0,0,9,2,3,1,4
2021-04-04,Nîmes,Saint-Étienne,0,2,Vitória Visitante,0,1,A,14,15,3,5,5,3,12,19,5,2,0,0,8,2,5,2,7
2021-04-04,Marseille,Dijon,2,0,Vitória Mandante,1,0,H,16,4,3,1,7,1,11,9,2,4,0,0,8,2,2,4,6
2021-04-04,Angers,Montpellier,1,1,Empate,0,0,D,14,8,4,3,4,0,15,9,1,1,0,0,4,2,1,1,2
2021-04-04,Nantes,Nice,1,2,Vitória Visitante,1,2,A,18,17,6,8,10,5,15,14,1,2,0,0,15,3,1,2,3
2021-04-04,Reims,Rennes,2,2,Empate,0,0,D,9,19,4,8,1,6,7,11,3,3,1,0,7,4,4,3,7
2021-04-04,Lorient,Brest,1,0,Vitória Mandante,1,0,H,13,5,4,1,6,5,9,23,3,2,0,1,11,1,3,3,6
2021-04-04,Bordeaux,Strasbourg,2,3,Vitória Visitante,2,3,A,14,12,6,5,6,5,8,15,1,1,0,0,11,5,1,1,2
2021-03-21,Lille,Nîmes,1,2,Vitória Visitante,1,2,A,15,10,4,4,8,0,19,10,2,0,0,0,8,3,2,0,2
2021-03-21,Lyon,Paris S-G,2,4,Vitória Visitante,0,2,A,8,14,7,9,1,4,14,15,2,0,0,0,5,6,2,0,2
2021-03-21,Nantes,Lorient,1,1,Empate,1,0,H,8,15,3,3,2,8,11,8,0,1,0,0,10,2,0,1,1
2021-03-21,Montpellier,Bordeaux,3,1,Vitória Mandante,1,1,D,23,13,9,3,6,6,8,10,1,2,0,0,12,4,1,2,3
2021-03-21,Dijon,Reims,0,1,Vitória Visitante,0,0,D,10,9,4,2,2,3,10,10,3,0,0,0,5,1,3,0,3
2021-03-21,Brest,Angers,0,0,Empate,0,0,D,11,15,2,5,3,6,17,11,1,3,0,0,9,0,1,3,4
2021-03-21,Strasbourg,Lens,1,2,Vitória Visitante,1,2,A,17,12,5,4,12,7,9,10,2,5,0,0,19,3,2,5,7
2021-03-20,Nice,Marseille,3,0,Vitória Mandante,1,0,H,17,7,7,2,7,5,11,16,1,1,0,0,12,3,1,1,2
2021-03-20,Metz,Rennes,1,3,Vitória Visitante,0,2,A,14,9,2,5,4,3,11,12,0,2,0,1,7,4,0,3,3
2021-03-19,Saint-Étienne,Monaco,0,4,Vitória Visitante,0,1,A,9,15,3,4,2,6,7,11,1,2,0,0,8,4,1,2,3
2021-03-14,Paris S-G,Nantes,1,2,Vitória Visitante,1,0,H,11,8,5,5,9,1,14,15,2,2,0,0,10,3,2,2,4
2021-03-14,Monaco,Lille,0,0,Empate,0,0,D,8,5,4,2,6,2,11,11,3,3,0,0,8,0,3,3,6
2021-03-14,Rennes,Strasbourg,1,0,Vitória Mandante,1,0,H,11,6,2,1,6,3,13,13,0,2,0,0,9,1,0,2,2
2021-03-14,Lorient,Nice,1,1,Empate,0,0,D,17,6,7,2,5,2,2,12,2,2,0,0,7,2,2,2,4
2021-03-14,Lens,Metz,2,2,Empate,2,1,H,16,7,6,4,6,1,17,8,4,3,0,0,7,4,4,3,7
2021-03-14,Dijon,Bordeaux,1,3,Vitória Visitante,0,2,A,13,10,3,6,5,6,15,7,5,1,0,0,11,4,5,1,6
2021-03-14,Nîmes,Montpellier,1,1,Empate,0,0,D,12,12,7,5,5,7,11,19,2,0,0,0,12,2,2,0,2
2021-03-13,Angers,Saint-Étienne,0,1,Vitória Visitante,0,0,D,4,7,1,3,6,3,8,14,1,2,0,0,9,1,1,2,3
2021-03-13,Marseille,Brest,3,1,Vitória Mandante,1,0,H,12,6,6,1,3,6,15,12,3,1,0,0,9,4,3,1,4
2021-03-04,Monaco,Metz,4,0,Vitória Mandante,0,0,D,15,6,6,1,8,1,16,15,0,6,0,1,9,4,0,7,7
2021-03-04,Paris S-G,Lille,0,1,Vitória Visitante,0,1,A,16,3,3,3,5,0,18,12,6,4,1,1,5,1,7,5,12
2021-03-04,Lens,Lyon,1,1,Empate,0,0,D,10,15,4,6,2,4,12,14,3,3,0,1,6,2,3,4,7
2021-03-03,Lille,Marseille,2,0,Vitória Mandante,0,0,D,23,3,8,1,11,1,12,7,0,1,0,0,12,2,0,1,1
2021-03-03,Strasbourg,Monaco,1,0,Vitória Mandante,0,0,D,17,5,2,1,5,7,10,12,3,0,0,0,12,1,3,0,3
2021-03-03,Nantes,Reims,1,2,Vitória Visitante,1,1,D,12,4,5,2,6,3,10,15,0,5,0,0,9,3,0,5,5
2021-03-03,Montpellier,Lorient,1,1,Empate,1,1,D,10,14,4,6,5,3,17,15,2,3,0,0,8,2,2,3,5
2021-03-03,Bordeaux,Paris S-G,0,1,Vitória Visitante,0,1,A,11,12,2,3,8,1,8,15,3,3,0,0,9,1,3,3,6
2021-03-03,Saint-Étienne,Lens,2,3,Vitória Visitante,1,2,A,19,9,4,5,13,3,13,12,3,2,0,0,16,5,3,2,5
2021-03-03,Nice,Nîmes,2,1,Vitória Mandante,1,0,H,10,22,4,7,0,6,14,8,3,3,0,0,6,3,3,3,6
2021-03-03,Metz,Angers,0,1,Vitória Visitante,0,1,A,15,8,1,4,6,1,18,9,2,2,1,0,7,1,3,2,5
2021-03-03,Lyon,Rennes,1,0,Vitória Mandante,0,0,D,15,12,7,1,6,4,12,15,1,3,0,0,10,1,1,3,4
2021-03-03,Brest,Dijon,3,1,Vitória Mandante,3,1,H,10,10,3,2,3,5,17,13,3,1,0,0,8,4,3,1,4
2021-03-02,Saint-Étienne,Nantes,1,1,Empate,0,1,A,14,13,8,6,5,5,15,19,3,1,0,0,10,2,3,1,4
2021-03-02,Metz,Montpellier,1,1,Empate,0,0,D,17,15,6,4,8,7,15,15,6,1,0,0,15,2,6,1,7
2021-03-02,Lens,Marseille,2,2,Empate,0,2,A,21,11,3,4,8,4,18,14,4,2,0,0,12,4,4,2,6
2021-03-02,Dijon,Lyon,0,1,Vitória Visitante,0,1,A,14,16,2,8,1,6,15,12,2,0,0,0,7,1,2,0,2
2021-03-02,Strasbourg,Brest,2,2,Empate,1,0,H,9,3,4,2,3,3,12,14,2,0,0,0,6,4,2,0,2
2021-03-02,Rennes,Lorient,1,1,Empate,1,0,H,10,12,6,3,5,3,17,6,2,1,0,0,8,2,2,1,3
2021-03-02,Reims,Angers,0,0,Empate,0,0,D,10,6,2,2,4,5,6,8,2,1,0,0,9,0,2,1,3
2021-03-02,Bordeaux,Lille,0,3,Vitória Visitante,0,0,D,10,11,4,6,1,2,8,17,1,2,0,0,3,3,1,2,3
2021-03-02,Monaco,Nice,2,1,Vitória Mandante,1,0,H,15,5,6,2,6,2,16,19,0,4,0,0,8,3,0,4,4
2021-03-02,Paris S-G,Nîmes,3,0,Vitória Mandante,2,0,H,14,19,6,6,4,7,13,11,0,1,0,0,11,3,0,1,1
