data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-03,Reims,Lyon,1.0,1.0,,1.0,0.0,H,14.0,17.0,5.0,6.0,2.0,5.0,11.0,12.0,3.0,1.0,0.0,0.0,7.0,2.0,3.0,1.0,4.0
2021-10-03,Marseille,Rennes,1.0,0.0,,0.0,0.0,D,9.0,10.0,2.0,2.0,3.0,4.0,15.0,19.0,2.0,4.0,0.0,0.0,7.0,1.0,2.0,4.0,6.0
2021-09-01,Monaco,Angers,3.0,0.0,,1.0,0.0,H,14.0,6.0,5.0,2.0,5.0,2.0,9.0,10.0,2.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,2.0
2021-09-01,Bordeaux,Lorient,2.0,1.0,,2.0,1.0,H,16.0,12.0,6.0,4.0,5.0,3.0,10.0,10.0,2.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,2.0
2021-09-01,Dijon,Marseille,0.0,0.0,,0.0,0.0,D,5.0,11.0,0.0,4.0,0.0,6.0,13.0,13.0,3.0,2.0,0.0,0.0,6.0,0.0,3.0,2.0,5.0
2021-09-01,Lens,Strasbourg,0.0,1.0,,0.0,1.0,A,11.0,10.0,2.0,4.0,4.0,4.0,16.0,15.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,2.0
2021-09-01,Metz,Nice,1.0,1.0,,0.0,1.0,A,16.0,11.0,5.0,4.0,5.0,2.0,19.0,8.0,2.0,2.0,0.0,0.0,7.0,2.0,2.0,2.0,4.0
2021-09-01,Montpellier,Nantes,1.0,1.0,,1.0,0.0,H,8.0,12.0,6.0,3.0,1.0,8.0,18.0,11.0,5.0,0.0,0.0,0.0,9.0,2.0,5.0,0.0,5.0
2021-09-01,Rennes,Lyon,2.0,2.0,,1.0,0.0,H,14.0,13.0,6.0,4.0,2.0,5.0,12.0,16.0,1.0,2.0,0.0,0.0,7.0,4.0,1.0,2.0,3.0
2021-09-01,Reims,St Etienne,3.0,1.0,,2.0,0.0,H,7.0,14.0,3.0,6.0,0.0,3.0,19.0,17.0,2.0,4.0,0.0,0.0,3.0,4.0,2.0,4.0,6.0
2021-09-01,Paris S-G,Brest,3.0,0.0,,1.0,0.0,H,22.0,12.0,11.0,2.0,7.0,4.0,7.0,13.0,1.0,1.0,0.0,0.0,11.0,3.0,1.0,1.0,2.0
2021-09-01,Nimes,Lille,0.0,1.0,,0.0,1.0,A,7.0,10.0,0.0,2.0,2.0,3.0,12.0,13.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0
2021-07-02,Nantes,Lille,0.0,2.0,,0.0,1.0,A,6.0,14.0,1.0,3.0,4.0,2.0,13.0,13.0,3.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,3.0
2021-07-02,Nimes,Monaco,3.0,4.0,,2.0,2.0,D,9.0,11.0,4.0,5.0,5.0,6.0,12.0,16.0,2.0,2.0,0.0,0.0,11.0,7.0,2.0,2.0,4.0
2021-07-02,St Etienne,Metz,1.0,0.0,,1.0,0.0,H,12.0,10.0,3.0,0.0,8.0,2.0,9.0,9.0,2.0,2.0,0.0,0.0,10.0,1.0,2.0,2.0,4.0
