clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Lille,2021-05-23,38,Visitante,V,2,1,Angers,43,3,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/cb188c0c.png
Lille,2021-05-16,37,Em casa,E,0,0,Saint-Étienne,60,0,
Lille,2021-05-07,36,Visitante,V,3,0,Lens,50,3,
Lille,2021-05-01,35,Em casa,V,2,0,Nice,55,2,
Lille,2021-04-25,34,Visitante,V,3,2,Lyon,54,5,
Lille,2021-04-16,33,Em casa,E,1,1,Montpellier,63,2,
Lille,2021-04-09,32,Visitante,V,2,0,Metz,49,2,
Lille,2021-04-03,31,Visitante,V,1,0,Paris S-G,36,1,
Lille,2021-03-21,30,Em casa,D,1,2,Nîmes,73,3,
Lille,2021-03-14,29,Visitante,E,0,0,Monaco,38,0,
Lille,2021-03-03,28,Em casa,V,2,0,Marseille,58,2,
Lille,2021-02-28,27,Em casa,E,1,1,Strasbourg,68,2,
Lille,2021-02-21,26,Visitante,V,4,1,Lorient,57,5,
Lille,2021-02-14,25,Em casa,E,0,0,Brest,68,0,
Lille,2021-02-07,24,Visitante,V,2,0,Nantes,56,2,
Lille,2021-02-03,23,Visitante,V,3,0,Bordeaux,46,3,
Lille,2021-01-31,22,Em casa,V,1,0,Dijon,59,1,
Lille,2021-01-24,21,Visitante,V,1,0,Rennes,33,1,
Lille,2021-01-17,20,Em casa,V,2,1,Reims,60,3,
Lille,2021-01-09,19,Visitante,V,1,0,Nîmes,52,1,
Lille,2021-01-06,18,Em casa,D,1,2,Angers,65,3,
Lille,2020-12-23,17,Visitante,V,3,2,Montpellier,53,5,
Lille,2020-12-20,16,Em casa,E,0,0,Paris S-G,31,0,
Lille,2020-12-16,15,Visitante,V,2,0,Dijon,54,2,
Lille,2020-12-13,14,Em casa,V,2,1,Bordeaux,56,3,
Lille,2020-12-06,13,Em casa,V,2,1,Monaco,42,3,
Lille,2020-11-29,12,Visitante,E,1,1,Saint-Étienne,62,2,
Lille,2020-11-22,11,Em casa,V,4,0,Lorient,64,4,
Lille,2020-11-08,10,Visitante,D,2,3,Brest,63,5,
Lille,2020-11-01, 9,Em casa,E,1,1,Lyon,60,2,
Lille,2020-10-25, 8,Visitante,E,1,1,Nice,47,2,
Lille,2020-10-18, 7,Em casa,V,4,0,Lens,57,4,
Lille,2020-10-04, 6,Visitante,V,3,0,Strasbourg,53,3,
Lille,2020-09-25, 5,Em casa,V,2,0,Nantes,54,2,
Lille,2020-09-20, 4,Visitante,E,1,1,Marseille,44,2,
Lille,2020-09-13, 3,Em casa,V,1,0,Metz,62,1,
Lille,2020-08-30, 2,Visitante,V,1,0,Reims,49,1,
Lille,2020-08-22, 1,Em casa,E,1,1,Rennes,52,2,
Paris S-G,2021-05-23,38,Visitante,V,2,0,Brest,63,2,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/e2d8892c.png
Paris S-G,2021-05-16,37,Em casa,V,4,0,Reims,57,4,
Paris S-G,2021-05-09,36,Visitante,E,1,1,Rennes,57,2,
Paris S-G,2021-05-01,35,Em casa,V,2,1,Lens,59,3,
Paris S-G,2021-04-24,34,Visitante,V,3,1,Metz,66,4,
Paris S-G,2021-04-18,33,Em casa,V,3,2,Saint-Étienne,70,5,
Paris S-G,2021-04-10,32,Visitante,V,4,1,Strasbourg,62,5,
Paris S-G,2021-04-03,31,Em casa,D,0,1,Lille,64,1,
Paris S-G,2021-03-21,30,Visitante,V,4,2,Lyon,56,6,
Paris S-G,2021-03-14,29,Em casa,D,1,2,Nantes,74,3,
Paris S-G,2021-03-03,28,Visitante,V,1,0,Bordeaux,57,1,
Paris S-G,2021-02-27,27,Visitante,V,4,0,Dijon,60,4,
Paris S-G,2021-02-21,26,Em casa,D,0,2,Monaco,74,2,
Paris S-G,2021-02-13,25,Em casa,V,2,1,Nice,54,3,
Paris S-G,2021-02-07,24,Visitante,V,2,0,Marseille,47,2,
Paris S-G,2021-02-03,23,Em casa,V,3,0,Nîmes,66,3,
Paris S-G,2021-01-31,22,Visitante,D,2,3,Lorient,64,5,
Paris S-G,2021-01-22,21,Em casa,V,4,0,Montpellier,72,4,
Paris S-G,2021-01-16,20,Visitante,V,1,0,Angers,61,1,
