posicao,equipe,n_jogos,vitorias,empates,derrotas,gols_marcados,gols_sofridos,saldo_gols,pontos,ultimos_5
1,Paris S-G,30,20,3,7,67,21,46,63,D V V D V
2,Lille,30,18,9,3,50,19,31,63,V E V E D
3,Lyon,30,17,9,4,59,30,29,60,V E V E D
4,Monaco,30,18,5,7,60,38,22,59,V V D E V
5,Lens,30,13,9,8,46,42,4,48,V E V E V
6,Marseille,30,12,9,9,38,36,2,45,E D V V D
7,Rennes,30,12,8,10,37,33,4,44,D D D V V
8,Montpellier,30,12,8,10,48,49,-1,44,V E E E V
9,Metz,30,11,9,10,36,32,4,42,V V D E D
10,Angers,30,11,7,12,33,43,-10,40,E E V D E
11,Nice,30,11,6,13,39,41,-2,39,D V V E V
12,Reims,30,9,11,10,36,36,0,38,E E V E V
13,Bordeaux,30,10,6,14,32,38,-6,36,D D D V D
14,Brest,30,10,5,15,43,53,-10,35,D D V D E
15,Strasbourg,30,9,6,15,37,44,-7,33,E E V D D
16,Saint-Étienne,30,8,9,13,30,46,-16,33,E D D V D
17,Lorient,30,7,8,15,36,54,-18,29,D V E E E
18,Nîmes,30,8,5,17,30,56,-26,29,V E D E V
19,Nantes,30,5,13,12,31,46,-15,28,E E D V E
20,Dijon,30,2,9,19,20,51,-31,15,D D D D D
