,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
1,Lille,2020-08-22,Em casa,E,1.0,1.0,Rennes,52.0,2.0,4,83.4,5.0,1.0,20.0,100.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
2,Lille,2020-08-30,Visitante,V,1.0,0.0,Reims,49.0,1.0,2,83.0,10.0,3.0,30.0,33.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
3,Lille,2020-09-13,Em casa,V,1.0,0.0,Metz,62.0,1.0,8,81.2,15.0,6.0,40.0,17.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
4,Lille,2020-09-20,Visitante,E,1.0,1.0,Marseille,44.0,2.0,4,77.6,14.0,7.0,50.0,14.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
5,Lille,2020-09-25,Em casa,V,2.0,0.0,Nantes,54.0,2.0,4,79.0,11.0,3.0,27.3,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
6,Lille,2020-10-04,Visitante,V,3.0,0.0,Strasbourg,53.0,3.0,1,83.4,13.0,6.0,46.2,50.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
7,Lille,2020-10-18,Em casa,V,4.0,0.0,Lens,57.0,4.0,7,84.2,17.0,6.0,35.3,67.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
8,Lille,2020-10-25,Visitante,E,1.0,1.0,Nice,47.0,2.0,3,86.2,11.0,4.0,36.4,25.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
9,Lille,2020-11-01,Em casa,E,1.0,1.0,Lyon,60.0,2.0,9,85.9,15.0,6.0,40.0,17.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
10,Lille,2020-11-08,Visitante,D,2.0,3.0,Brest,63.0,5.0,11,84.7,20.0,6.0,30.0,17.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
11,Lille,2020-11-22,Em casa,V,4.0,0.0,Lorient,64.0,4.0,9,86.8,32.0,13.0,40.6,31.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
12,Lille,2020-11-29,Visitante,E,1.0,1.0,Saint-Étienne,62.0,2.0,3,80.1,9.0,2.0,22.2,50.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
13,Lille,2020-12-06,Em casa,V,2.0,1.0,Monaco,42.0,3.0,1,79.4,10.0,4.0,40.0,50.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
14,Lille,2020-12-13,Em casa,V,2.0,1.0,Bordeaux,56.0,3.0,8,82.3,15.0,5.0,33.3,40.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
15,Lille,2020-12-16,Visitante,V,2.0,0.0,Dijon,54.0,2.0,4,81.3,10.0,5.0,50.0,40.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
16,Lille,2020-12-20,Em casa,E,0.0,0.0,Paris S-G,31.0,0.0,4,74.8,8.0,2.0,25.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
17,Lille,2020-12-23,Visitante,V,3.0,2.0,Montpellier,53.0,5.0,4,84.6,8.0,5.0,62.5,40.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
18,Lille,2021-01-06,Em casa,D,1.0,2.0,Angers,65.0,3.0,8,82.2,7.0,2.0,28.6,50.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/cb188c0c.png
