Posição,Equipe,Nº Jogos,Vitórias,Empates,Derrotas,Gols Marcados,Gols Sofridos,Saldo de Gols,Pontos,Últimos 5
1,Lille,29,18,9,2,49,17,32,63,D W D W D
2,Paris S-G,29,19,3,7,63,19,44,60,W L W W L
3,Lyon,29,17,9,3,57,26,31,60,L W D W D
4,Monaco,29,17,5,7,56,38,18,56,D W W L D
5,Marseille,29,12,9,8,38,33,5,45,D D L W W
6,Lens,29,12,9,8,44,41,3,45,D W D W D
7,Metz,29,11,9,9,35,29,6,42,L W W L D
8,Rennes,29,11,8,10,34,32,2,41,L L L L W
9,Montpellier,29,11,8,10,45,48,-3,41,W W D D D
10,Angers,29,11,6,12,33,43,-10,39,L D D W L
11,Bordeaux,29,10,6,13,31,35,-4,36,D L L L W
12,Nice,29,10,6,13,36,41,-5,36,L L W W D
13,Reims,29,8,11,10,35,36,-1,35,D D D W D
14,Brest,29,10,4,15,43,53,-10,34,D L L W L
15,Strasbourg,29,9,6,14,36,42,-6,33,W D D W L
16,Saint-Étienne,29,8,9,12,30,42,-12,33,W D L L W
17,Lorient,29,7,7,15,35,53,-18,28,L L W D D
18,Nantes,29,5,12,12,30,45,-15,27,W D D L W
19,Nîmes,29,7,5,17,28,55,-27,26,W W D L D
20,Dijon,29,2,9,18,20,50,-30,15,L L L L L
