data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-05,Sassuolo,Juventus,1,3,Vitória Visitante,0,2,A,17,14,3,8,3,5,10,12,1,2,0,0,8,4,1,2,3
2021-12-05,Sampdoria,Spezia,2,2,Empate,1,1,D,14,12,6,7,5,5,9,17,2,2,0,0,10,4,2,2,4
2021-12-05,Lazio,Parma,1,0,Vitória Mandante,0,0,D,14,11,6,5,7,2,13,14,1,3,0,0,9,1,1,3,4
2021-12-05,Inter,Roma,3,1,Vitória Mandante,2,1,H,13,17,5,6,5,8,4,12,0,4,0,0,13,4,0,4,4
2021-12-05,Bologna,Genoa,0,2,Vitória Visitante,0,1,A,17,12,8,9,12,4,9,11,1,3,0,0,16,2,1,3,4
2021-12-05,Atalanta,Benevento,2,0,Vitória Mandante,1,0,H,14,3,4,1,7,5,19,11,2,5,0,1,12,2,2,6,8
2021-12-05,Cagliari,Fiorentina,0,0,Empate,0,0,D,7,2,1,0,3,1,18,10,1,2,0,0,4,0,1,2,3
2021-12-05,Torino,Milan,0,7,Vitória Visitante,0,2,A,14,14,1,11,2,3,13,15,2,1,0,0,5,7,2,1,3
2021-12-04,Benevento,Sassuolo,0,1,Vitória Visitante,0,1,A,9,14,5,4,3,8,12,14,3,2,0,0,11,1,3,2,5
2021-12-03,Lazio,Crotone,3,2,Vitória Mandante,2,1,H,23,6,9,3,5,1,10,11,0,3,0,0,6,5,0,3,3
2021-12-03,Atalanta,Spezia,3,1,Vitória Mandante,0,0,D,14,6,9,3,3,5,17,6,2,0,0,0,8,4,2,0,2
2021-12-02,Bologna,Benevento,1,1,Empate,1,0,H,11,13,3,8,8,3,17,10,3,2,0,0,11,2,3,2,5
