data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-05,Sassuolo,Juventus,1.0,3.0,Vitória Visitante,0.0,2.0,A,17.0,14.0,3.0,8.0,3.0,5.0,10.0,12.0,1.0,2.0,0.0,0.0,8.0,4.0,1.0,2.0,3.0
2021-12-05,Atalanta,Benevento,2.0,0.0,Vitória Mandante,1.0,0.0,H,14.0,3.0,4.0,1.0,7.0,5.0,19.0,11.0,2.0,5.0,0.0,1.0,12.0,2.0,2.0,6.0,8.0
2021-12-05,Torino,Milan,0.0,7.0,Vitória Visitante,0.0,2.0,A,14.0,14.0,1.0,11.0,2.0,3.0,13.0,15.0,2.0,1.0,0.0,0.0,5.0,7.0,2.0,1.0,3.0
2021-12-05,Cagliari,Fiorentina,0.0,0.0,Empate,0.0,0.0,D,7.0,2.0,1.0,0.0,3.0,1.0,18.0,10.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0
2021-12-05,Sampdoria,Spezia,2.0,2.0,Empate,1.0,1.0,D,14.0,12.0,6.0,7.0,5.0,5.0,9.0,17.0,2.0,2.0,0.0,0.0,10.0,4.0,2.0,2.0,4.0
2021-12-05,Bologna,Genoa,0.0,2.0,Vitória Visitante,0.0,1.0,A,17.0,12.0,8.0,9.0,12.0,4.0,9.0,11.0,1.0,3.0,0.0,0.0,16.0,2.0,1.0,3.0,4.0
2021-12-05,Lazio,Parma,1.0,0.0,Vitória Mandante,0.0,0.0,D,14.0,11.0,6.0,5.0,7.0,2.0,13.0,14.0,1.0,3.0,0.0,0.0,9.0,1.0,1.0,3.0,4.0
2021-12-05,Inter,Roma,3.0,1.0,Vitória Mandante,2.0,1.0,H,13.0,17.0,5.0,6.0,5.0,8.0,4.0,12.0,0.0,4.0,0.0,0.0,13.0,4.0,0.0,4.0,4.0
2021-12-04,Benevento,Sassuolo,0.0,1.0,Vitória Visitante,0.0,1.0,A,9.0,14.0,5.0,4.0,3.0,8.0,12.0,14.0,3.0,2.0,0.0,0.0,11.0,1.0,3.0,2.0,5.0
2021-12-03,Atalanta,Spezia,3.0,1.0,Vitória Mandante,0.0,0.0,D,14.0,6.0,9.0,3.0,3.0,5.0,17.0,6.0,2.0,0.0,0.0,0.0,8.0,4.0,2.0,0.0,2.0
2021-12-03,Lazio,Crotone,3.0,2.0,Vitória Mandante,2.0,1.0,H,23.0,6.0,9.0,3.0,5.0,1.0,10.0,11.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,3.0,3.0
2021-12-02,Bologna,Benevento,1.0,1.0,Empate,1.0,0.0,H,11.0,13.0,3.0,8.0,8.0,3.0,17.0,10.0,3.0,2.0,0.0,0.0,11.0,2.0,3.0,2.0,5.0
2021-11-05,Napoli,Udinese,5.0,1.0,Vitória Mandante,2.0,1.0,H,21.0,5.0,12.0,2.0,8.0,3.0,8.0,14.0,0.0,1.0,0.0,0.0,11.0,6.0,0.0,1.0,1.0
2021-11-04,Inter,Cagliari,1.0,0.0,Vitória Mandante,0.0,0.0,D,15.0,8.0,8.0,2.0,5.0,0.0,10.0,12.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,2.0
2021-11-04,Juventus,Genoa,3.0,1.0,Vitória Mandante,2.0,0.0,H,23.0,11.0,14.0,3.0,8.0,6.0,15.0,11.0,3.0,3.0,0.0,0.0,14.0,4.0,3.0,3.0,6.0
2021-11-04,Sampdoria,Napoli,0.0,2.0,Vitória Visitante,0.0,1.0,A,11.0,20.0,5.0,9.0,8.0,7.0,14.0,10.0,0.0,3.0,0.0,0.0,15.0,2.0,0.0,3.0,3.0
2021-11-04,Hellas Verona,Lazio,0.0,1.0,Vitória Visitante,0.0,0.0,D,4.0,14.0,1.0,5.0,5.0,4.0,15.0,13.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,2.0,2.0
2021-11-04,Roma,Bologna,1.0,0.0,Vitória Mandante,1.0,0.0,H,14.0,11.0,7.0,5.0,4.0,6.0,14.0,14.0,3.0,2.0,0.0,0.0,10.0,1.0,3.0,2.0,5.0
2021-11-04,Fiorentina,Atalanta,2.0,3.0,Vitória Visitante,0.0,2.0,A,8.0,14.0,2.0,9.0,0.0,6.0,15.0,13.0,3.0,1.0,0.0,0.0,6.0,5.0,3.0,1.0,4.0
2021-11-01,Spezia,Sampdoria,2.0,1.0,Vitória Mandante,1.0,1.0,D,8.0,6.0,4.0,4.0,4.0,2.0,17.0,15.0,4.0,3.0,0.0,0.0,6.0,3.0,4.0,3.0,7.0
2021-10-04,Spezia,Crotone,3.0,2.0,Vitória Mandante,0.0,1.0,A,9.0,9.0,7.0,6.0,3.0,4.0,12.0,15.0,1.0,1.0,0.0,0.0,7.0,5.0,1.0,1.0,2.0
2021-10-04,Parma,Milan,1.0,3.0,Vitória Visitante,0.0,2.0,A,15.0,11.0,5.0,7.0,7.0,3.0,14.0,11.0,4.0,4.0,0.0,1.0,10.0,4.0,4.0,5.0,9.0
2021-10-04,Udinese,Torino,0.0,1.0,Vitória Visitante,0.0,0.0,D,12.0,9.0,5.0,2.0,5.0,4.0,21.0,19.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,3.0,3.0
2021-10-01,Hellas Verona,Crotone,2.0,1.0,Vitória Mandante,2.0,0.0,H,11.0,7.0,7.0,3.0,6.0,4.0,16.0,16.0,3.0,3.0,0.0,0.0,10.0,3.0,3.0,3.0,6.0
2021-10-01,Juventus,Sassuolo,3.0,1.0,Vitória Mandante,0.0,0.0,D,20.0,10.0,10.0,2.0,6.0,3.0,11.0,4.0,4.0,1.0,0.0,1.0,9.0,4.0,4.0,2.0,6.0
2021-10-01,Fiorentina,Cagliari,1.0,0.0,Vitória Mandante,0.0,0.0,D,12.0,9.0,5.0,3.0,9.0,5.0,15.0,14.0,1.0,3.0,0.0,0.0,14.0,1.0,1.0,3.0,4.0
2021-10-01,Parma,Lazio,0.0,2.0,Vitória Visitante,0.0,0.0,D,9.0,21.0,3.0,5.0,5.0,6.0,11.0,6.0,4.0,1.0,0.0,0.0,11.0,2.0,4.0,1.0,5.0
2021-10-01,Roma,Inter,2.0,2.0,Empate,1.0,0.0,H,14.0,16.0,8.0,6.0,3.0,7.0,18.0,11.0,3.0,3.0,0.0,0.0,10.0,4.0,3.0,3.0,6.0
2021-10-01,Udinese,Napoli,1.0,2.0,Vitória Visitante,1.0,1.0,D,17.0,15.0,8.0,6.0,2.0,7.0,19.0,6.0,3.0,1.0,0.0,0.0,9.0,3.0,3.0,1.0,4.0
2021-09-05,Parma,Atalanta,2.0,5.0,Vitória Visitante,0.0,1.0,A,5.0,18.0,2.0,13.0,1.0,3.0,12.0,15.0,1.0,1.0,0.0,0.0,4.0,7.0,1.0,1.0,2.0
2021-09-05,Genoa,Sassuolo,1.0,2.0,Vitória Visitante,0.0,1.0,A,13.0,13.0,5.0,7.0,8.0,2.0,17.0,15.0,2.0,0.0,0.0,0.0,10.0,3.0,2.0,0.0,2.0
2021-09-05,Roma,Crotone,5.0,0.0,Vitória Mandante,0.0,0.0,D,20.0,7.0,13.0,2.0,8.0,4.0,10.0,11.0,2.0,0.0,0.0,0.0,12.0,5.0,2.0,0.0,2.0
2021-09-05,Hellas Verona,Torino,1.0,1.0,Empate,0.0,0.0,D,19.0,6.0,7.0,4.0,9.0,3.0,16.0,22.0,3.0,3.0,0.0,0.0,12.0,2.0,3.0,3.0,6.0
2021-09-05,Benevento,Cagliari,1.0,3.0,Vitória Visitante,1.0,1.0,D,7.0,7.0,7.0,4.0,4.0,5.0,17.0,20.0,2.0,2.0,0.0,0.0,9.0,4.0,2.0,2.0,4.0
2021-09-05,Juventus,Milan,0.0,3.0,Vitória Visitante,0.0,1.0,A,16.0,11.0,4.0,6.0,8.0,2.0,17.0,12.0,2.0,2.0,0.0,0.0,10.0,3.0,2.0,2.0,4.0
2021-09-01,Milan,Torino,2.0,0.0,Vitória Mandante,2.0,0.0,H,8.0,8.0,4.0,4.0,7.0,5.0,22.0,15.0,6.0,2.0,0.0,0.0,12.0,2.0,6.0,2.0,8.0
