clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Inter,2021-05-23,38,Em casa,V,5,1,Udinese,47,6,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/d609edc0.png
Inter,2021-05-15,37,Visitante,D,2,3,Juventus,59,5,
Inter,2021-05-12,36,Em casa,V,3,1,Roma,51,4,
Inter,2021-05-08,35,Em casa,V,5,1,Sampdoria,55,6,
Inter,2021-05-01,34,Visitante,V,2,0,Crotone,61,2,
Inter,2021-04-25,33,Em casa,V,1,0,Hellas Verona,49,1,
Inter,2021-04-21,32,Visitante,E,1,1,Spezia,64,2,
Inter,2021-04-18,31,Visitante,E,1,1,Napoli,44,2,
Inter,2021-04-11,30,Em casa,V,1,0,Cagliari,52,1,
Inter,2021-04-07,28,Em casa,V,2,1,Sassuolo,30,3,
Inter,2021-04-03,29,Visitante,V,1,0,Bologna,45,1,
Inter,2021-03-14,27,Visitante,V,2,1,Torino,68,3,
Inter,2021-03-08,26,Em casa,V,1,0,Atalanta,45,1,
Inter,2021-03-04,25,Visitante,V,2,1,Parma,48,3,
Inter,2021-02-28,24,Em casa,V,3,0,Genoa,51,3,
Inter,2021-02-21,23,Visitante,V,3,0,Milan,40,3,
Inter,2021-02-14,22,Em casa,V,3,1,Lazio,35,4,
Inter,2021-02-05,21,Visitante,V,2,0,Fiorentina,55,2,
Inter,2021-01-30,20,Em casa,V,4,0,Benevento,61,4,
Inter,2021-01-23,19,Visitante,E,0,0,Udinese,61,0,
Inter,2021-01-17,18,Em casa,V,2,0,Juventus,50,2,
Inter,2021-01-10,17,Visitante,E,2,2,Roma,49,4,
Inter,2021-01-06,16,Visitante,D,1,2,Sampdoria,63,3,
Inter,2021-01-03,15,Em casa,V,6,2,Crotone,48,8,
Inter,2020-12-23,14,Visitante,V,2,1,Hellas Verona,60,3,
Inter,2020-12-20,13,Em casa,V,2,1,Spezia,42,3,
Inter,2020-12-16,12,Em casa,V,1,0,Napoli,41,1,
Inter,2020-12-13,11,Visitante,V,3,1,Cagliari,58,4,
Inter,2020-12-05,10,Em casa,V,3,1,Bologna,46,4,
Inter,2020-11-28, 9,Visitante,V,3,0,Sassuolo,34,3,
Inter,2020-11-22, 8,Em casa,V,4,2,Torino,56,6,
Inter,2020-11-08, 7,Visitante,E,1,1,Atalanta,48,2,
Inter,2020-10-31, 6,Em casa,E,2,2,Parma,69,4,
Inter,2020-10-24, 5,Visitante,V,2,0,Genoa,61,2,
Inter,2020-10-17, 4,Em casa,D,1,2,Milan,55,3,
Inter,2020-10-04, 3,Visitante,E,1,1,Lazio,60,2,
Inter,2020-09-30, 1,Visitante,V,5,2,Benevento,66,7,
Inter,2020-09-26, 2,Em casa,V,4,3,Fiorentina,66,7,
Milan,2021-05-23,38,Visitante,V,2,0,Atalanta,30,2,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/dc56fe14.png
Milan,2021-05-16,37,Em casa,E,0,0,Cagliari,61,0,
Milan,2021-05-12,36,Visitante,V,7,0,Torino,57,7,
Milan,2021-05-09,35,Visitante,V,3,0,Juventus,44,3,
Milan,2021-05-01,34,Em casa,V,2,0,Benevento,56,2,
Milan,2021-04-26,33,Visitante,D,0,3,Lazio,59,3,
Milan,2021-04-21,32,Em casa,D,1,2,Sassuolo,47,3,
Milan,2021-04-18,31,Em casa,V,2,1,Genoa,54,3,
Milan,2021-04-10,30,Visitante,V,3,1,Parma,42,4,
Milan,2021-04-03,29,Em casa,E,1,1,Sampdoria,63,2,
Milan,2021-03-21,28,Visitante,V,3,2,Fiorentina,58,5,
Milan,2021-03-14,27,Em casa,D,0,1,Napoli,56,1,
Milan,2021-03-07,26,Visitante,V,2,0,Hellas Verona,47,2,
Milan,2021-03-03,25,Em casa,E,1,1,Udinese,61,2,
Milan,2021-02-28,24,Visitante,V,2,1,Roma,47,3,
Milan,2021-02-21,23,Em casa,D,0,3,Inter,60,3,
Milan,2021-02-13,22,Visitante,D,0,2,Spezia,53,2,
