posicao,equipe,n_jogos,vitorias,empates,derrotas,gols_marcados,gols_sofridos,saldo_gols,pontos,ultimos_5
1,Inter,38,28,7,3,89,35,54,91,V V V D V
2,Milan,38,24,7,7,74,41,33,79,V V V E V
3,Atalanta,38,23,9,6,90,47,43,78,E V V V D
4,Juventus,38,23,9,6,77,38,39,78,V D V V V
5,Napoli,38,24,5,9,86,41,45,77,E V V V E
6,Lazio,38,21,5,12,61,55,6,68,D V D E D
7,Roma,38,18,8,12,68,58,10,62,D V D V E
8,Sassuolo,38,17,11,10,64,56,8,62,E V D V V
9,Sampdoria,38,15,7,16,52,54,-2,52,V D E V V
10,Hellas Verona,38,11,12,15,46,48,-2,45,E E D E E
11,Genoa,38,10,12,16,47,58,-11,42,D D V D V
12,Bologna,38,10,11,17,51,65,-14,41,E E D E D
13,Fiorentina,38,9,13,16,47,59,-12,40,E V E D E
14,Udinese,38,10,10,18,42,58,-16,40,D E D D D
15,Spezia,38,9,12,17,52,72,-20,39,E D E V E
16,Cagliari,38,9,10,19,43,59,-16,37,E V E E D
17,Torino,38,7,16,15,50,69,-19,37,E D D E E
18,Benevento,38,7,12,19,40,75,-35,33,D D D E E
19,Crotone,38,6,5,27,45,92,-47,23,D D V E E
20,Parma,38,3,11,24,39,83,-44,20,D D D D D
