,clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol_%,chutes_por_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,chutes_contra_o_gol,defesas_%,sem_vazamento,escudo
0,Inter,2021-03-14,27,Visitante,V,2.0,1.0,Torino,68.0,3.0,8,87.7,12,16.7,6.0,1,0,12,3,66.7,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/d609edc0.png
1,Inter,2021-03-08,26,Em casa,V,1.0,0.0,Atalanta,45.0,1.0,7,80.4,5,20.0,5.0,0,0,17,2,100.0,1,
2,Inter,2021-03-04,25,Visitante,V,2.0,1.0,Parma,48.0,3.0,2,86.1,12,50.0,6.0,1,0,11,2,50.0,0,
3,Inter,2021-02-28,24,Em casa,V,3.0,0.0,Genoa,51.0,3.0,9,87.4,24,50.0,8.0,0,0,13,2,100.0,1,
4,Inter,2021-02-21,23,Visitante,V,3.0,0.0,Milan,40.0,3.0,7,81.1,15,40.0,5.0,1,0,10,8,100.0,1,
5,Inter,2021-02-14,22,Em casa,V,3.0,1.0,Lazio,35.0,4.0,4,76.9,11,54.5,3.6666666666666665,2,0,9,6,83.3,0,
6,Inter,2021-02-05,21,Visitante,V,2.0,0.0,Fiorentina,55.0,2.0,7,86.5,14,42.9,7.0,1,0,16,3,100.0,1,
7,Inter,2021-01-30,20,Em casa,V,4.0,0.0,Benevento,61.0,4.0,7,87.4,12,50.0,3.0,0,0,11,0,,1,
8,Inter,2021-01-23,19,Visitante,E,0.0,0.0,Udinese,61.0,0.0,4,86.5,10,40.0,0.0,2,0,18,1,100.0,1,
9,Inter,2021-01-17,18,Em casa,V,2.0,0.0,Juventus,50.0,2.0,3,87.3,17,35.3,8.5,2,0,9,4,100.0,1,
10,Inter,2021-01-10,17,Visitante,E,2.0,2.0,Roma,49.0,4.0,7,86.1,17,35.3,8.5,3,0,12,8,75.0,0,
11,Inter,2021-01-06,16,Visitante,D,1.0,2.0,Sampdoria,63.0,3.0,10,82.1,24,25.0,24.0,4,0,19,2,50.0,0,
12,Inter,2021-01-03,15,Em casa,V,6.0,2.0,Crotone,48.0,8.0,3,85.6,16,50.0,2.6666666666666665,0,0,9,2,50.0,0,
13,Inter,2020-12-23,14,Visitante,V,2.0,1.0,Hellas Verona,60.0,3.0,8,80.2,18,33.3,9.0,2,0,21,2,50.0,0,
14,Inter,2020-12-20,13,Em casa,V,2.0,1.0,Spezia,42.0,3.0,3,83.8,9,44.4,4.5,1,0,12,1,0.0,0,
15,Inter,2020-12-16,12,Em casa,V,1.0,0.0,Napoli,41.0,1.0,4,86.4,4,25.0,4.0,5,0,19,3,100.0,1,
16,Inter,2020-12-13,11,Visitante,V,3.0,1.0,Cagliari,58.0,4.0,9,84.7,21,47.6,7.0,1,0,20,3,66.7,0,
17,Inter,2020-12-05,10,Em casa,V,3.0,1.0,Bologna,46.0,4.0,7,81.9,14,50.0,4.666666666666667,1,0,13,7,85.7,0,
18,Inter,2020-11-28, 9,Visitante,V,3.0,0.0,Sassuolo,34.0,3.0,2,83.0,11,36.4,3.6666666666666665,1,0,17,3,100.0,1,
19,Inter,2020-11-22, 8,Em casa,V,4.0,2.0,Torino,56.0,6.0,1,86.1,12,25.0,3.0,3,0,26,5,80.0,0,
20,Inter,2020-11-08, 7,Visitante,E,1.0,1.0,Atalanta,48.0,2.0,5,85.0,10,30.0,10.0,3,0,13,2,50.0,0,
21,Inter,2020-10-31, 6,Em casa,E,2.0,2.0,Parma,69.0,4.0,15,84.3,25,36.0,12.5,1,0,15,3,33.3,0,
22,Inter,2020-10-24, 5,Visitante,V,2.0,0.0,Genoa,61.0,2.0,9,83.5,14,28.6,7.0,1,0,20,0,,1,
23,Inter,2020-10-17, 4,Em casa,D,1.0,2.0,Milan,55.0,3.0,3,81.3,18,27.8,18.0,3,0,20,3,33.3,0,
24,Inter,2020-10-04, 3,Visitante,E,1.0,1.0,Lazio,60.0,2.0,8,86.6,12,33.3,12.0,4,1,14,4,75.0,0,
25,Inter,2020-09-30, 1,Visitante,V,5.0,2.0,Benevento,66.0,7.0,1,90.5,18,44.4,3.6,0,0,17,6,66.7,0,
26,Inter,2020-09-26, 2,Em casa,V,4.0,3.0,Fiorentina,66.0,7.0,5,87.7,21,33.3,5.25,1,0,15,4,25.0,0,
0,Milan,2021-03-14,27,Em casa,D,0.0,1.0,Napoli,56.0,1.0,5,84.6,13,38.5,0.0,1,1,15,4,75.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/dc56fe14.png
1,Milan,2021-03-07,26,Visitante,V,2.0,0.0,Hellas Verona,47.0,2.0,1,71.6,11,27.3,5.5,0,0,12,0,,1,
2,Milan,2021-03-03,25,Em casa,E,1.0,1.0,Udinese,61.0,2.0,7,85.0,11,54.5,11.0,4,0,24,1,0.0,0,
3,Milan,2021-02-28,24,Visitante,V,2.0,1.0,Roma,47.0,3.0,8,82.4,17,47.1,8.5,3,0,10,8,87.5,0,
4,Milan,2021-02-21,23,Em casa,D,0.0,3.0,Inter,60.0,3.0,7,84.4,15,53.3,0.0,2,0,11,6,50.0,0,
5,Milan,2021-02-13,22,Visitante,D,0.0,2.0,Spezia,53.0,2.0,2,78.2,7,0.0,0.0,1,0,17,4,50.0,0,
6,Milan,2021-02-07,21,Em casa,V,4.0,0.0,Crotone,50.0,4.0,8,83.3,21,47.6,5.25,3,0,17,2,100.0,1,
7,Milan,2021-01-30,20,Visitante,V,2.0,1.0,Bologna,51.0,3.0,4,82.0,13,61.5,6.5,1,0,13,5,80.0,0,
8,Milan,2021-01-23,19,Em casa,D,0.0,3.0,Atalanta,51.0,3.0,5,82.5,14,21.4,0.0,2,0,16,7,71.4,0,
9,Milan,2021-01-18,18,Visitante,V,2.0,0.0,Cagliari,56.0,2.0,4,85.8,9,55.6,4.5,3,1,13,2,100.0,1,
10,Milan,2021-01-09,17,Em casa,V,2.0,0.0,Torino,46.0,2.0,7,81.8,7,42.9,3.5,6,0,22,2,100.0,1,
11,Milan,2021-01-06,16,Em casa,D,1.0,3.0,Juventus,43.0,4.0,7,84.0,20,40.0,20.0,1,0,19,6,50.0,0,
12,Milan,2021-01-03,15,Visitante,V,2.0,0.0,Benevento,39.0,2.0,4,79.6,9,11.1,4.5,3,1,15,5,100.0,1,
13,Milan,2020-12-23,14,Em casa,V,3.0,2.0,Lazio,40.0,5.0,4,78.4,12,33.3,4.0,2,0,10,6,66.7,0,
14,Milan,2020-12-20,13,Visitante,V,2.0,1.0,Sassuolo,32.0,3.0,4,74.0,11,45.5,5.5,3,0,14,5,80.0,0,
15,Milan,2020-12-16,12,Visitante,E,2.0,2.0,Genoa,58.0,4.0,10,75.6,13,30.8,6.5,3,0,16,4,50.0,0,
16,Milan,2020-12-13,11,Em casa,E,2.0,2.0,Parma,65.0,4.0,13,84.4,26,23.1,13.0,3,0,12,2,0.0,0,
17,Milan,2020-12-06,10,Visitante,V,2.0,1.0,Sampdoria,61.0,3.0,6,82.2,13,30.8,6.5,1,0,17,3,66.7,0,
18,Milan,2020-11-29, 9,Em casa,V,2.0,0.0,Fiorentina,45.0,2.0,3,77.0,15,13.3,7.5,2,0,17,2,100.0,1,
