data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
16/08/2019,Ath Bilbao,Barcelona,1,0,H,0,0,D,11,11,5,2,3,8,14,9,1,1,0,0,11,1,1,1,2
17/08/2019,Celta,Real Madrid,1,3,A,0,1,A,7,17,4,11,6,4,17,12,5,2,0,1,10,4,5,3,8
17/08/2019,Valencia,Sociedad,1,1,D,0,0,D,14,12,6,3,3,3,13,14,4,4,1,0,6,2,5,4,9
17/08/2019,Mallorca,Eibar,2,1,H,1,0,H,16,11,4,5,9,3,13,14,2,3,0,0,12,3,2,3,5
17/08/2019,Leganes,Osasuna,0,1,A,0,0,D,13,4,2,2,8,0,17,11,1,4,1,0,8,1,2,4,6
17/08/2019,Villarreal,Granada,4,4,D,1,1,D,12,14,7,7,2,7,10,16,3,1,0,0,9,8,3,1,4
18/08/2019,Alaves,Levante,1,0,H,0,0,D,9,16,2,4,2,9,18,15,2,1,0,0,11,1,2,1,3
18/08/2019,Espanol,Sevilla,0,2,A,0,1,A,7,12,2,4,8,4,11,17,2,2,0,0,12,2,2,2,4
18/08/2019,Betis,Valladolid,1,2,A,0,0,D,13,14,4,3,6,1,11,19,2,6,1,0,7,3,3,6,9
18/08/2019,Ath Madrid,Getafe,1,0,H,1,0,H,5,6,5,0,3,4,19,22,3,4,1,1,7,1,4,5,9
23/08/2019,Granada,Sevilla,0,1,A,0,0,D,12,11,0,6,6,6,13,14,1,1,0,0,12,1,1,1,2
23/08/2019,Levante,Villarreal,2,1,H,0,1,A,16,23,4,6,7,3,5,9,1,2,0,0,10,3,1,2,3
24/08/2019,Osasuna,Eibar,0,0,D,0,0,D,6,12,2,0,6,6,15,12,4,4,0,0,12,0,4,4,8
24/08/2019,Real Madrid,Valladolid,1,1,D,0,0,D,22,9,4,2,4,3,12,11,2,2,0,0,7,2,2,2,4
24/08/2019,Celta,Valencia,1,0,H,1,0,H,11,9,6,1,6,4,8,12,1,2,0,0,10,1,1,2,3
24/08/2019,Getafe,Ath Bilbao,1,1,D,1,1,D,6,4,2,2,4,6,15,11,2,1,0,0,10,2,2,1,3
25/08/2019,Alaves,Espanol,0,0,D,0,0,D,10,5,2,1,3,5,13,10,3,1,0,0,8,0,3,1,4
25/08/2019,Mallorca,Sociedad,0,1,A,0,0,D,12,12,4,4,5,5,16,12,1,2,0,0,10,1,1,2,3
25/08/2019,Leganes,Ath Madrid,0,1,A,0,0,D,10,6,4,4,9,4,12,13,4,5,0,0,13,1,4,5,9
25/08/2019,Barcelona,Betis,5,2,H,1,1,D,20,4,7,3,11,0,14,12,1,1,0,0,11,7,1,1,2
30/08/2019,Sevilla,Celta,1,1,D,0,0,D,19,2,5,1,9,1,16,9,4,2,0,0,10,2,4,2,6
30/08/2019,Ath Bilbao,Sociedad,2,0,H,2,0,H,15,2,5,2,3,0,17,17,2,3,0,0,3,2,2,3,5
31/08/2019,Osasuna,Barcelona,2,2,D,1,0,H,15,8,5,4,3,2,16,9,3,4,0,0,5,4,3,4,7
31/08/2019,Getafe,Alaves,1,1,D,1,1,D,15,5,1,1,4,2,11,17,3,1,0,0,6,2,3,1,4
31/08/2019,Levante,Valladolid,2,0,H,0,0,D,16,15,3,4,6,6,9,10,2,2,0,0,12,2,2,2,4
31/08/2019,Betis,Leganes,2,1,H,0,0,D,17,19,5,7,11,8,14,15,4,2,0,0,19,3,4,2,6
01/09/2019,Valencia,Mallorca,2,0,H,1,0,H,9,12,4,1,7,4,6,19,0,1,0,0,11,2,0,1,1
01/09/2019,Ath Madrid,Eibar,3,2,H,1,2,A,7,6,3,2,1,1,9,15,0,3,0,0,2,5,0,3,3
01/09/2019,Espanol,Granada,0,3,A,0,1,A,15,14,3,6,8,6,6,13,2,3,0,0,14,3,2,3,5
01/09/2019,Villarreal,Real Madrid,2,2,D,1,1,D,10,17,5,5,1,8,8,14,1,4,0,1,9,4,1,5,6
13/09/2019,Mallorca,Ath Bilbao,0,0,D,0,0,D,10,11,1,5,4,6,15,18,4,3,0,0,10,0,4,3,7
14/09/2019,Real Madrid,Levante,3,2,H,3,0,H,25,8,11,3,9,6,13,10,2,2,0,0,15,5,2,2,4
14/09/2019,Leganes,Villarreal,0,3,A,0,2,A,10,8,4,4,8,6,14,11,2,0,0,0,14,3,2,0,2
14/09/2019,Sociedad,Ath Madrid,2,0,H,0,0,D,14,12,5,2,5,5,13,10,1,3,0,0,10,2,1,3,4
14/09/2019,Barcelona,Valencia,5,2,H,2,1,H,17,9,10,3,2,5,11,11,1,4,0,0,7,7,1,4,5
15/09/2019,Eibar,Espanol,1,2,A,0,0,D,11,7,1,2,7,2,14,16,2,4,0,1,9,3,2,5,7
15/09/2019,Alaves,Sevilla,0,1,A,0,1,A,7,19,0,7,2,6,13,7,5,5,0,0,8,1,5,5,10
15/09/2019,Celta,Granada,0,2,A,0,1,A,4,13,0,3,3,5,11,13,4,2,2,0,8,2,6,2,8
15/09/2019,Valladolid,Osasuna,1,1,D,0,0,D,11,17,1,5,10,6,9,10,0,1,0,0,16,2,0,1,1
15/09/2019,Betis,Getafe,1,1,D,0,1,A,7,12,2,4,5,6,11,28,3,6,2,0,11,2,5,6,11
20/09/2019,Osasuna,Betis,0,0,D,0,0,D,12,7,6,2,9,4,15,9,1,2,0,0,13,0,1,2,3
21/09/2019,Villarreal,Valladolid,2,0,H,0,0,D,18,7,6,3,4,8,12,8,2,1,0,0,12,2,2,1,3
21/09/2019,Levante,Eibar,0,0,D,0,0,D,13,18,4,4,6,7,9,11,0,2,0,0,13,0,0,2,2
21/09/2019,Ath Madrid,Celta,0,0,D,0,0,D,20,6,5,3,13,3,14,12,3,5,0,0,16,0,3,5,8
21/09/2019,Granada,Barcelona,2,0,H,1,0,H,9,8,4,1,4,5,22,12,3,2,0,0,9,2,3,2,5
22/09/2019,Getafe,Mallorca,4,2,H,2,0,H,14,7,5,3,7,2,15,17,4,5,0,0,9,6,4,5,9
22/09/2019,Espanol,Sociedad,1,3,A,0,2,A,17,10,3,5,5,7,7,12,1,0,0,0,12,4,1,0,1
22/09/2019,Valencia,Leganes,1,1,D,1,1,D,13,13,4,4,6,6,14,23,3,4,0,0,12,2,3,4,7
22/09/2019,Ath Bilbao,Alaves,2,0,H,1,0,H,13,5,4,1,3,2,11,19,1,4,0,0,5,2,1,4,5
22/09/2019,Sevilla,Real Madrid,0,1,A,0,0,D,9,7,0,4,9,6,16,15,3,2,0,0,15,1,3,2,5
24/09/2019,Valladolid,Granada,1,1,D,1,1,D,9,6,5,4,6,3,21,18,3,2,0,0,9,2,3,2,5
24/09/2019,Betis,Levante,3,1,H,1,1,D,17,17,5,3,5,2,11,11,2,2,0,0,7,4,2,2,4
24/09/2019,Barcelona,Villarreal,2,1,H,2,1,H,8,11,4,3,6,5,4,13,4,2,0,0,11,3,4,2,6
25/09/2019,Leganes,Ath Bilbao,1,1,D,0,0,D,7,9,3,2,4,5,11,12,0,1,0,0,9,2,0,1,1
25/09/2019,Mallorca,Ath Madrid,0,2,A,0,1,A,9,13,3,3,8,5,8,15,3,5,0,1,13,2,3,6,9
25/09/2019,Valencia,Getafe,3,3,D,3,1,H,8,18,4,5,4,5,14,26,1,4,0,0,9,6,1,4,5
25/09/2019,Real Madrid,Osasuna,2,0,H,1,0,H,15,4,4,0,7,5,13,13,2,2,0,0,12,2,2,2,4
26/09/2019,Eibar,Sevilla,3,2,H,0,2,A,11,7,4,4,3,1,11,19,3,4,0,0,4,5,3,4,7
26/09/2019,Celta,Espanol,1,1,D,0,0,D,14,10,3,4,6,4,5,17,2,5,0,0,10,2,2,5,7
26/09/2019,Sociedad,Alaves,3,0,H,3,0,H,21,5,7,0,5,3,7,20,1,4,0,1,8,3,1,5,6
27/09/2019,Villarreal,Betis,5,1,H,1,0,H,17,11,10,6,3,7,13,8,2,2,0,0,10,6,2,2,4
28/09/2019,Ath Bilbao,Valencia,0,1,A,0,1,A,14,10,3,6,7,7,14,12,2,5,0,0,14,1,2,5,7
28/09/2019,Getafe,Barcelona,0,2,A,0,1,A,8,10,1,6,4,1,23,17,4,4,0,1,5,2,4,5,9
28/09/2019,Granada,Leganes,1,0,H,1,0,H,11,15,4,6,8,3,19,12,3,4,0,0,11,1,3,4,7
28/09/2019,Ath Madrid,Real Madrid,0,0,D,0,0,D,7,14,1,3,5,7,14,14,1,2,0,0,12,0,1,2,3
29/09/2019,Espanol,Valladolid,0,2,A,0,1,A,16,9,2,6,4,3,16,13,2,0,1,0,7,2,3,0,3
