data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
12/09/2020,Eibar,Celta Vigo,0,0,Empate,0,0,D,8,6,1,3,3,3,17,13,4,4,1,0,6,0,5,4,9
12/09/2020,Granada,Athletic Club,2,0,Vitória Mandante,0,0,D,4,9,2,2,1,2,8,10,3,4,0,0,3,2,3,4,7
12/09/2020,Cádiz,Osasuna,0,2,Vitória Visitante,0,1,A,12,6,3,4,6,2,14,21,2,2,0,0,8,2,2,2,4
13/09/2020,Alavés,Betis,0,1,Vitória Visitante,0,0,D,7,11,2,4,6,4,19,17,3,3,0,0,10,1,3,3,6
13/09/2020,Valladolid,Real Sociedad,1,1,Empate,1,0,H,8,8,3,2,5,3,15,17,4,1,0,0,8,2,4,1,5
13/09/2020,Villarreal,Huesca,1,1,Empate,0,1,A,15,10,4,3,6,6,10,22,1,1,0,0,12,2,1,1,2
13/09/2020,Valencia,Levante,4,2,Vitória Mandante,2,2,D,14,19,8,8,3,4,9,14,1,3,0,0,7,6,1,3,4
19/09/2020,Villarreal,Eibar,2,1,Vitória Mandante,0,0,D,14,12,8,4,4,3,5,12,1,1,0,0,7,3,1,1,2
19/09/2020,Getafe,Osasuna,1,0,Vitória Mandante,0,0,D,7,10,1,3,4,1,19,13,4,2,0,0,5,1,4,2,6
19/09/2020,Celta Vigo,Valencia,2,1,Vitória Mandante,1,0,H,23,9,6,3,6,6,12,13,3,1,0,0,12,3,3,1,4
20/09/2020,Huesca,Cádiz,0,2,Vitória Visitante,0,1,A,4,6,0,4,2,1,18,23,3,3,0,0,3,2,3,3,6
20/09/2020,Betis,Valladolid,2,0,Vitória Mandante,2,0,H,16,9,6,2,5,3,18,10,3,0,0,0,8,2,3,0,3
20/09/2020,Granada,Alavés,2,1,Vitória Mandante,1,1,D,10,5,3,3,4,4,9,12,0,3,0,0,8,3,0,3,3
20/09/2020,Real Sociedad,Real Madrid,0,0,Empate,0,0,D,6,16,1,4,1,11,17,12,2,2,0,0,12,0,2,2,4
26/09/2020,Alavés,Getafe,0,0,Empate,0,0,D,9,11,0,4,1,5,13,13,2,2,0,0,6,0,2,2,4
26/09/2020,Valencia,Huesca,1,1,Empate,1,0,H,5,17,2,4,4,4,14,20,0,1,0,0,8,2,0,1,1
26/09/2020,Elche,Real Sociedad,0,3,Vitória Visitante,0,0,D,5,27,2,7,2,11,11,12,3,1,0,0,13,3,3,1,4
26/09/2020,Betis,Real Madrid,2,3,Vitória Visitante,2,1,H,15,11,5,4,8,3,9,10,5,2,1,0,11,5,6,2,8
27/09/2020,Osasuna,Levante,1,3,Vitória Visitante,1,1,D,9,11,4,5,3,7,15,16,2,0,0,0,10,4,2,0,2
27/09/2020,Eibar,Athletic Club,1,2,Vitória Visitante,0,1,A,7,9,1,5,5,4,15,12,1,0,0,0,9,3,1,0,1
27/09/2020,Atlético Madrid,Granada,6,1,Vitória Mandante,1,0,H,17,11,10,6,1,1,16,14,3,1,0,0,2,7,3,1,4
27/09/2020,Cádiz,Sevilla,1,3,Vitória Visitante,0,0,D,12,14,5,5,6,5,9,14,4,2,0,0,11,4,4,2,6
27/09/2020,Valladolid,Celta Vigo,1,1,Empate,0,1,A,10,5,4,1,4,1,26,18,3,4,0,0,5,2,3,4,7
27/09/2020,Barcelona,Villarreal,4,0,Vitória Mandante,4,0,H,17,5,9,1,8,4,9,10,0,1,0,0,12,4,0,1,1
29/09/2020,Real Sociedad,Valencia,0,1,Vitória Visitante,0,0,D,11,9,3,5,9,3,16,15,1,5,0,0,12,1,1,5,6
29/09/2020,Getafe,Betis,3,0,Vitória Mandante,3,0,H,8,10,4,2,1,4,15,17,4,4,0,1,5,3,4,5,9
30/09/2020,Huesca,Atlético Madrid,0,0,Empate,0,0,D,9,16,3,2,5,7,13,10,1,0,0,0,12,0,1,0,1
30/09/2020,Villarreal,Alavés,3,1,Vitória Mandante,2,1,H,10,8,6,3,2,0,11,13,0,2,0,0,2,4,0,2,2
30/09/2020,Eibar,Elche,0,1,Vitória Visitante,0,1,A,12,5,4,2,3,2,9,14,2,2,0,0,5,1,2,2,4
30/09/2020,Real Madrid,Valladolid,1,0,Vitória Mandante,0,0,D,15,11,5,5,4,7,11,7,2,1,0,0,11,1,2,1,3
01/10/2020,Athletic Club,Cádiz,0,1,Vitória Visitante,0,0,D,13,3,4,1,5,2,15,16,3,5,0,2,7,1,3,7,10
01/10/2020,Sevilla,Levante,1,0,Vitória Mandante,0,0,D,16,3,2,1,2,4,14,17,5,2,0,0,6,1,5,2,7
01/10/2020,Celta Vigo,Barcelona,0,3,Vitória Visitante,0,1,A,10,6,3,3,3,7,22,10,5,5,0,1,10,3,5,6,11
