,clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol_%,chutes_por_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,cartoes_total,chutes_contra_o_gol,defesas_%,sem_vazamento,escudo
0,Atlético Madrid,2021-03-13,27,Visitante,E,0.0,0.0,Getafe,74.0,0.0,11,83.6,15,53.3,0.0,5,0,17,5,2,100.0,1,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/db3b9613.png
1,Atlético Madrid,2021-03-10,18,Em casa,V,2.0,1.0,Athletic Club,46.0,3.0,5,83.8,10,40.0,5.0,2,0,12,2,2,50.0,0,
2,Atlético Madrid,2021-03-07,26,Em casa,E,1.0,1.0,Real Madrid,39.0,2.0,1,82.4,11,45.5,11.0,5,0,20,5,8,87.5,0,
3,Atlético Madrid,2021-02-28,25,Visitante,V,2.0,0.0,Villarreal,38.0,2.0,2,75.6,6,83.3,3.0,3,0,23,3,6,100.0,1,
4,Atlético Madrid,2021-02-20,24,Em casa,D,0.0,2.0,Levante,56.0,2.0,12,81.2,28,39.3,0.0,2,0,10,2,1,-100.0,0,
5,Atlético Madrid,2021-02-17, 2,Visitante,E,1.0,1.0,Levante,64.0,2.0,8,82.9,14,42.9,14.0,3,0,10,3,4,75.0,0,
6,Atlético Madrid,2021-02-13,23,Visitante,V,2.0,1.0,Granada,60.0,3.0,3,78.8,10,40.0,5.0,5,0,20,5,1,0.0,0,
7,Atlético Madrid,2021-02-08,22,Em casa,E,2.0,2.0,Celta Vigo,46.0,4.0,1,79.4,8,25.0,4.0,2,0,15,2,2,0.0,0,
8,Atlético Madrid,2021-01-31,21,Visitante,V,4.0,2.0,Cádiz,51.0,6.0,2,84.5,8,37.5,2.0,5,0,7,5,6,66.7,0,
9,Atlético Madrid,2021-01-24,20,Em casa,V,3.0,1.0,Valencia,49.0,4.0,7,81.6,14,35.7,4.666666666666667,2,0,17,2,4,75.0,0,
10,Atlético Madrid,2021-01-21,19,Visitante,V,2.0,1.0,Eibar,63.0,3.0,3,75.4,8,37.5,4.0,2,0,9,2,2,100.0,0,
11,Atlético Madrid,2021-01-12, 1,Em casa,V,2.0,0.0,Sevilla,34.0,2.0,3,79.1,5,80.0,2.5,2,0,15,2,2,100.0,1,
12,Atlético Madrid,2021-01-03,17,Visitante,V,2.0,1.0,Alavés,59.0,3.0,5,81.0,8,50.0,4.0,2,0,14,2,1,0.0,0,
13,Atlético Madrid,2020-12-30,16,Em casa,V,1.0,0.0,Getafe,51.0,1.0,5,75.4,10,30.0,10.0,2,0,9,2,2,100.0,1,
14,Atlético Madrid,2020-12-22,15,Visitante,V,2.0,0.0,Real Sociedad,41.0,2.0,5,74.5,8,37.5,4.0,3,0,19,3,1,100.0,1,
15,Atlético Madrid,2020-12-19,14,Em casa,V,3.0,1.0,Elche,48.0,4.0,2,87.7,11,45.5,3.6666666666666665,1,0,13,1,3,66.7,0,
16,Atlético Madrid,2020-12-12,13,Visitante,D,0.0,2.0,Real Madrid,45.0,2.0,6,84.4,5,20.0,0.0,4,0,19,4,3,33.3,0,
