data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-03,Nacional,Marítimo,1,2,Vitória Visitante,1,0,H,17,14,7,3,8,6,20,21,4,4,0,0,14,3,4,4,8
2021-12-02,Famalicão,Belenenses,0,0,Empate,0,0,D,8,20,5,11,4,5,14,21,3,4,0,0,9,0,3,4,7
2021-11-04,Braga,Belenenses,1,1,Empate,1,0,H,14,9,4,2,9,7,12,13,4,3,0,0,16,2,4,3,7
2021-11-04,Sporting CP,Famalicão,1,1,Empate,1,1,D,16,2,5,2,6,5,13,18,3,3,0,0,11,2,3,3,6
2021-11-04,Santa Clara,Nacional,5,1,Vitória Mandante,2,0,H,16,10,9,3,3,3,18,18,2,3,0,0,6,6,2,3,5
2021-11-04,Gil Vicente FC,Moreirense,1,2,Vitória Visitante,0,1,A,18,10,6,4,7,2,18,11,2,1,0,0,9,3,2,1,3
2021-10-04,Tondela,Porto,0,2,Vitória Visitante,0,1,A,7,13,2,6,1,6,19,21,4,1,0,0,7,2,4,1,5
2021-10-04,Boavista,Rio Ave,3,3,Empate,2,1,H,13,10,4,5,6,5,21,18,5,1,1,0,11,6,6,1,7
2021-10-04,Paços,Benfica,0,5,Vitória Visitante,0,3,A,2,15,1,9,1,11,8,14,1,5,1,0,12,5,2,5,7
2021-10-04,Marítimo,SC Farense,1,0,Vitória Mandante,1,0,H,9,14,2,2,6,12,15,19,4,3,0,0,18,1,4,3,7
2021-10-01,Belenenses,Paços,0,2,Vitória Visitante,0,1,A,14,9,6,5,8,4,20,11,2,2,0,0,12,2,2,2,4
2021-10-01,SC Farense,Gil Vicente FC,3,1,Vitória Mandante,2,1,H,10,7,4,3,7,6,15,18,1,2,1,0,13,4,2,2,4
2021-09-04,Portimonense,Vitória,3,0,Vitória Mandante,1,0,H,7,10,3,3,3,8,16,10,2,2,0,0,11,3,2,2,4
2021-09-03,Braga,Vitória,3,0,Vitória Mandante,2,0,H,8,14,4,1,3,12,16,14,1,2,0,0,15,3,1,2,3
2021-09-02,Rio Ave,Tondela,2,1,Vitória Mandante,0,1,A,6,11,2,5,2,3,13,10,4,2,0,0,5,3,4,2,6
2021-09-02,Boavista,Nacional,0,1,Vitória Visitante,0,1,A,20,7,2,1,6,1,15,23,2,4,1,0,7,1,3,4,7
2021-09-02,Gil Vicente FC,Sporting CP,1,2,Vitória Visitante,1,0,H,6,21,2,5,1,4,19,6,4,1,0,0,5,3,4,1,5
2021-09-02,Paços,Portimonense,0,0,Empate,0,0,D,6,14,1,3,3,2,12,9,2,1,0,0,5,0,2,1,3
2021-09-01,Moreirense,Vitória,2,2,Empate,1,1,D,7,9,6,3,2,3,19,12,2,3,0,0,5,4,2,3,5
2021-09-01,Boavista,Santa Clara,1,1,Empate,1,1,D,13,7,5,2,3,4,18,27,3,4,0,0,7,2,3,4,7
2021-08-03,Belenenses,Benfica,0,3,Vitória Visitante,0,0,D,10,11,3,6,4,5,9,12,1,0,0,0,9,3,1,0,1
2021-08-02,Marítimo,Santa Clara,1,2,Vitória Visitante,0,0,D,16,8,5,3,3,5,20,22,1,3,0,0,8,3,1,3,4
2021-08-02,Belenenses,Vitória,1,1,Empate,1,1,D,10,9,4,4,4,7,12,13,3,2,0,0,11,2,3,2,5
2021-08-02,SC Farense,Moreirense,1,2,Vitória Visitante,0,1,A,15,6,4,3,10,1,19,13,4,3,0,0,11,3,4,3,7
2021-08-02,Benfica,Famalicão,2,0,Vitória Mandante,2,0,H,13,10,5,5,4,1,22,12,3,2,0,0,5,2,3,2,5
2021-08-01,Rio Ave,Portimonense,3,0,Vitória Mandante,0,0,D,16,13,7,3,4,4,10,22,0,3,0,0,8,3,0,3,3
2021-08-01,Famalicão,Porto,1,4,Vitória Visitante,1,2,A,8,9,3,5,3,3,21,9,5,1,0,0,6,5,5,1,6
2021-08-01,Benfica,Tondela,2,0,Vitória Mandante,0,0,D,21,3,5,2,11,0,19,11,2,0,0,0,11,2,2,0,2
2021-08-01,Nacional,Sporting CP,0,2,Vitória Visitante,0,1,A,6,24,1,5,1,10,10,10,3,1,0,0,11,2,3,1,4
2021-07-03,Rio Ave,SC Farense,2,0,Vitória Mandante,1,0,H,10,6,4,1,4,6,19,18,2,2,0,0,10,2,2,2,4
2021-07-03,Marítimo,Moreirense,0,2,Vitória Visitante,0,1,A,15,16,6,5,5,2,19,13,3,2,0,0,7,2,3,2,5
2021-07-02,Braga,Porto,2,2,Empate,0,1,A,15,10,5,3,6,5,18,18,3,3,0,1,11,4,3,4,7
2021-07-01,Braga,Marítimo,2,1,Vitória Mandante,1,0,H,18,9,3,2,4,1,18,9,3,4,0,0,5,3,3,4,7
2021-06-03,Gil Vicente FC,Porto,0,2,Vitória Visitante,0,1,A,9,11,1,6,4,10,14,11,0,0,0,0,14,2,0,0,0
2021-06-03,Portimonense,Tondela,3,0,Vitória Mandante,2,0,H,10,12,5,3,3,3,9,7,1,1,0,0,6,3,1,1,2
2021-06-03,Boavista,Famalicão,3,0,Vitória Mandante,1,0,H,11,12,4,2,2,7,12,18,2,2,0,1,9,3,2,3,5
2021-05-04,SC Farense,Braga,1,2,Vitória Visitante,1,1,D,18,14,9,2,4,5,12,14,0,1,0,0,9,3,0,1,1
2021-05-04,Benfica,Marítimo,1,0,Vitória Mandante,1,0,H,15,8,6,2,4,3,17,19,3,3,0,0,7,1,3,3,6
2021-05-04,Moreirense,Sporting CP,1,1,Empate,0,1,A,5,10,1,3,2,4,16,13,2,2,0,0,6,2,2,2,4
2021-05-03,Paços,Nacional,2,1,Vitória Mandante,2,0,H,12,10,3,4,5,4,20,18,3,4,0,0,9,3,3,4,7
2021-05-03,Sporting CP,Santa Clara,2,1,Vitória Mandante,1,0,H,6,6,4,2,4,8,18,24,1,2,0,0,12,3,1,2,3
2021-05-02,Rio Ave,Nacional,0,0,Empate,0,0,D,15,18,4,7,5,3,14,25,2,2,0,0,8,0,2,2,4
2021-05-02,Paços,Tondela,2,1,Vitória Mandante,1,0,H,9,8,3,3,3,3,23,14,2,1,0,0,6,3,2,1,3
2021-05-02,Marítimo,Sporting CP,0,2,Vitória Visitante,0,1,A,5,19,0,4,2,5,19,22,2,1,0,0,7,2,2,1,3
2021-05-02,Boavista,Gil Vicente FC,1,2,Vitória Visitante,1,1,D,16,12,5,5,3,5,11,24,2,3,0,0,8,3,2,3,5
2021-05-02,Benfica,Vitória,0,0,Empate,0,0,D,22,5,5,2,9,2,14,19,1,2,0,0,11,0,1,2,3
2021-04-22,Porto,Vitória,1,0,Vitória Mandante,0,0,D,15,4,7,1,8,4,9,7,1,0,0,0,12,1,1,0,1
2021-04-22,Portimonense,Benfica,1,5,Vitória Visitante,1,1,D,8,15,3,6,5,4,10,15,1,2,0,0,9,6,1,2,3
2021-04-22,Gil Vicente FC,Famalicão,0,3,Vitória Visitante,0,0,D,10,14,5,5,6,5,11,11,1,2,1,0,11,3,2,2,4
2021-04-22,Tondela,Nacional,2,1,Vitória Mandante,1,1,D,6,11,5,5,6,7,14,20,2,4,0,1,13,3,2,5,7
2021-04-21,Sporting CP,Belenenses,2,2,Empate,0,1,A,28,3,9,3,9,0,14,14,1,3,0,0,9,4,1,3,4
2021-04-21,Braga,Boavista,2,1,Vitória Mandante,1,1,D,25,5,10,2,15,2,14,17,0,3,0,1,17,3,0,4,4
2021-04-21,Marítimo,Rio Ave,1,0,Vitória Mandante,1,0,H,6,15,2,1,4,10,13,15,0,0,0,0,14,1,0,0,0
2021-04-21,Santa Clara,Moreirense,0,0,Empate,0,0,D,18,6,5,3,8,5,17,9,5,3,0,0,13,0,5,3,8
2021-04-20,Paços,SC Farense,0,2,Vitória Visitante,0,0,D,5,13,1,6,6,6,10,8,1,1,0,0,12,2,1,1,2
2021-04-18,Famalicão,Portimonense,0,1,Vitória Visitante,0,1,A,18,9,2,4,5,4,15,19,1,5,0,0,9,1,1,5,6
2021-04-18,Nacional,Porto,0,1,Vitória Visitante,0,1,A,7,9,3,3,2,2,13,16,3,1,0,0,4,1,3,1,4
2021-04-17,Benfica,Gil Vicente FC,1,2,Vitória Visitante,0,1,A,19,8,1,2,5,5,7,10,1,1,0,0,10,3,1,1,2
2021-04-17,Belenenses,Marítimo,2,0,Vitória Mandante,1,0,H,6,21,4,6,2,11,26,12,4,3,0,0,13,2,4,3,7
2021-04-17,Moreirense,Tondela,2,3,Vitória Visitante,2,3,A,12,7,3,5,5,3,17,13,5,4,1,0,8,5,6,4,10
2021-04-17,Vitória,Santa Clara,1,0,Vitória Mandante,1,0,H,5,9,2,1,4,5,17,19,1,1,0,0,9,1,1,1,2
2021-04-17,Rio Ave,Braga,0,0,Empate,0,0,D,10,13,4,6,2,5,19,20,3,2,1,0,7,0,4,2,6
2021-04-16,SC Farense,Sporting CP,0,1,Vitória Visitante,0,1,A,8,12,3,4,7,9,13,11,1,2,0,0,16,1,1,2,3
2021-04-16,Boavista,Paços,2,0,Vitória Mandante,2,0,H,9,13,4,2,0,8,8,10,3,1,0,0,8,2,3,1,4
2021-04-04,Belenenses,Boavista,0,2,Vitória Visitante,0,1,A,10,10,2,6,5,4,12,17,3,4,0,1,9,2,3,5,8
2021-04-04,Famalicão,Paços,2,0,Vitória Mandante,1,0,H,16,3,6,0,6,3,15,15,2,5,0,1,9,2,2,6,8
2021-04-04,Vitória,Tondela,1,2,Vitória Visitante,1,1,D,16,10,6,3,11,5,12,10,2,0,0,0,16,3,2,0,2
2021-04-02,Famalicão,Moreirense,0,2,Vitória Visitante,0,2,A,19,10,2,3,5,3,10,29,2,5,1,0,8,2,3,5,8
2021-04-02,SC Farense,Santa Clara,1,1,Empate,1,0,H,16,11,4,3,11,7,15,17,0,3,0,0,18,2,0,3,3
2021-04-02,Braga,Portimonense,2,1,Vitória Mandante,0,1,A,16,7,4,5,4,1,12,21,0,2,0,0,5,3,0,2,2
2021-04-02,Belenenses,Porto,0,0,Empate,0,0,D,6,16,0,6,2,10,12,13,4,2,0,0,12,0,4,2,6
2021-04-01,Portimonense,SC Farense,2,0,Vitória Mandante,0,0,D,13,6,5,0,5,1,21,11,3,2,0,0,6,2,3,2,5
2021-04-01,Gil Vicente FC,Belenenses,0,0,Empate,0,0,D,13,7,5,1,8,3,10,19,2,1,0,0,11,0,2,1,3
2021-03-21,Rio Ave,Belenenses,0,0,Empate,0,0,D,19,6,7,3,9,2,18,14,3,0,0,1,11,0,3,1,4
2021-03-21,Boavista,SC Farense,0,1,Vitória Visitante,0,1,A,14,19,5,8,5,9,23,21,2,1,0,0,14,1,2,1,3
2021-03-21,Marítimo,Famalicão,0,4,Vitória Visitante,0,2,A,8,13,2,7,5,1,13,15,3,2,0,0,6,4,3,2,5
2021-03-21,Braga,Benfica,0,2,Vitória Visitante,0,1,A,8,10,3,5,2,1,9,17,2,4,1,0,3,2,3,4,7
2021-03-20,Paços,Moreirense,3,0,Vitória Mandante,3,0,H,14,9,8,0,5,10,15,6,4,1,0,0,15,3,4,1,5
2021-03-20,Portimonense,Porto,1,2,Vitória Visitante,0,1,A,8,12,3,3,2,4,14,10,4,2,1,0,6,3,5,2,7
2021-03-20,Sporting CP,Vitória,1,0,Vitória Mandante,1,0,H,10,4,4,1,5,6,10,14,2,1,0,0,11,1,2,1,3
2021-03-20,Santa Clara,Tondela,1,1,Empate,0,1,A,16,5,5,4,6,4,15,15,4,1,2,0,10,2,6,1,7
2021-03-19,Gil Vicente FC,Nacional,2,0,Vitória Mandante,0,0,D,10,9,4,1,3,3,19,15,3,3,1,1,6,2,4,4,8
2021-03-15,Famalicão,Braga,2,2,Empate,1,2,A,17,9,5,3,2,4,20,12,3,2,0,0,6,4,3,2,5
2021-03-14,Moreirense,Rio Ave,1,1,Empate,0,1,A,9,13,2,2,7,5,12,15,2,4,0,0,12,2,2,4,6
2021-03-14,Vitória,Gil Vicente FC,2,4,Vitória Visitante,1,3,A,20,11,8,8,8,6,20,13,3,3,1,0,14,6,4,3,7
