data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo
2020-12-06,Sp Lisbon,Pacos Ferreira,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-12-06,Moreirense,Rio Ave,0.0,1.0,Vitória Visitante,0.0,1.0,A
2020-12-01,Sp Braga,Tondela,2.0,1.0,Vitória Mandante,0.0,1.0,A
2020-12-01,Maritimo,Guimaraes,0.0,0.0,Empate,0.0,0.0,D
2020-12-01,Gil Vicente,Belenenses,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-11-07,Belenenses,Moreirense,0.0,1.0,Vitória Visitante,0.0,0.0,D
2020-11-06,Tondela,Aves,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-11-06,Belenenses,Guimaraes,1.0,1.0,Empate,1.0,1.0,D
2020-11-01,Portimonense,Pacos Ferreira,0.0,0.0,Empate,0.0,0.0,D
2020-11-01,Setubal,Sp Lisbon,1.0,3.0,Vitória Visitante,0.0,2.0,A
2020-11-01,Boavista,Famalicao,0.0,1.0,Vitória Visitante,0.0,0.0,D
2020-10-07,Pacos Ferreira,Sp Braga,1.0,5.0,Vitória Visitante,0.0,3.0,A
2020-10-07,Sp Lisbon,Santa Clara,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-10-07,Guimaraes,Gil Vicente,1.0,2.0,Vitória Visitante,0.0,0.0,D
2020-10-06,Porto,Maritimo,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-10-06,Setubal,Santa Clara,2.0,2.0,Empate,1.0,1.0,D
2020-10-06,Portimonense,Benfica,2.0,2.0,Empate,0.0,2.0,A
2020-10-01,Santa Clara,Rio Ave,0.0,1.0,Vitória Visitante,0.0,0.0,D
2020-10-01,Benfica,Aves,2.0,1.0,Vitória Mandante,0.0,1.0,A
2020-10-01,Moreirense,Porto,2.0,4.0,Vitória Visitante,2.0,2.0,D
2020-09-07,Rio Ave,Portimonense,2.0,1.0,Vitória Mandante,1.0,1.0,D
2020-09-07,Tondela,Porto,1.0,3.0,Vitória Visitante,0.0,0.0,D
2020-09-07,Famalicao,Benfica,1.0,1.0,Empate,0.0,1.0,A
2020-09-06,Gil Vicente,Famalicao,1.0,3.0,Vitória Visitante,0.0,2.0,A
2020-09-02,Moreirense,Setubal,1.0,1.0,Empate,0.0,1.0,A
2020-09-02,Tondela,Maritimo,0.0,0.0,Empate,0.0,0.0,D
2020-09-02,Sp Lisbon,Portimonense,2.0,1.0,Vitória Mandante,1.0,1.0,D
2020-09-02,Aves,Rio Ave,0.0,4.0,Vitória Visitante,0.0,1.0,A
2020-08-07,Boavista,Maritimo,0.0,1.0,Vitória Visitante,0.0,1.0,A
2020-08-07,Aves,Setubal,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-08-03,Pacos Ferreira,Guimaraes,1.0,2.0,Vitória Visitante,1.0,0.0,H
2020-08-03,Sp Lisbon,Aves,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-08-03,Moreirense,Maritimo,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-08-03,Belenenses,Famalicao,0.0,0.0,Empate,0.0,0.0,D
2020-08-03,Gil Vicente,Santa Clara,1.0,1.0,Empate,0.0,0.0,D
2020-08-02,Porto,Benfica,3.0,2.0,Vitória Mandante,3.0,1.0,H
2020-08-02,Famalicao,Guimaraes,0.0,7.0,Vitória Visitante,0.0,2.0,A
2020-08-02,Sp Braga,Gil Vicente,2.0,2.0,Empate,2.0,0.0,H
2020-08-02,Belenenses,Santa Clara,0.0,2.0,Vitória Visitante,0.0,2.0,A
2020-07-26,Moreirense,Tondela,1.0,2.0,Vitória Visitante,0.0,1.0,A
2020-07-26,Portimonense,Aves,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-07-26,Setubal,Belenenses,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-07-25,Sp Braga,Porto,2.0,1.0,Vitória Mandante,0.0,1.0,A
2020-07-25,Benfica,Sp Lisbon,2.0,1.0,Vitória Mandante,1.0,0.0,H
2020-07-25,Maritimo,Famalicao,3.0,3.0,Empate,1.0,1.0,D
2020-07-25,Boavista,Rio Ave,0.0,2.0,Vitória Visitante,0.0,1.0,A
2020-07-24,Gil Vicente,Pacos Ferreira,3.0,3.0,Empate,2.0,2.0,D
2020-07-24,Santa Clara,Guimaraes,2.0,2.0,Empate,2.0,1.0,H
2020-07-21,Aves,Benfica,0.0,4.0,Vitória Visitante,0.0,1.0,A
2020-07-21,Sp Lisbon,Setubal,0.0,0.0,Empate,0.0,0.0,D
2020-07-20,Porto,Moreirense,6.0,1.0,Vitória Mandante,1.0,1.0,D
2020-07-20,Tondela,Sp Braga,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-07-20,Pacos Ferreira,Portimonense,2.0,1.0,Vitória Mandante,2.0,1.0,H
2020-07-19,Guimaraes,Maritimo,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-07-19,Belenenses,Gil Vicente,1.0,0.0,Vitória Mandante,0.0,0.0,D
