data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-03,Nacional,Marítimo,1.0,2.0,Vitória Visitante,1.0,0.0,H,17.0,14.0,7.0,3.0,8.0,6.0,20.0,21.0,4.0,4.0,0.0,0.0,14.0,3.0,4.0,4.0,8.0
2021-12-02,Famalicão,Belenenses,0.0,0.0,Empate,0.0,0.0,D,8.0,20.0,5.0,11.0,4.0,5.0,14.0,21.0,3.0,4.0,0.0,0.0,9.0,0.0,3.0,4.0,7.0
2021-11-04,Braga,Belenenses,1.0,1.0,Empate,1.0,0.0,H,14.0,9.0,4.0,2.0,9.0,7.0,12.0,13.0,4.0,3.0,0.0,0.0,16.0,2.0,4.0,3.0,7.0
2021-11-04,Santa Clara,Nacional,5.0,1.0,Vitória Mandante,2.0,0.0,H,16.0,10.0,9.0,3.0,3.0,3.0,18.0,18.0,2.0,3.0,0.0,0.0,6.0,6.0,2.0,3.0,5.0
2021-11-04,Gil Vicente FC,Moreirense,1.0,2.0,Vitória Visitante,0.0,1.0,A,18.0,10.0,6.0,4.0,7.0,2.0,18.0,11.0,2.0,1.0,0.0,0.0,9.0,3.0,2.0,1.0,3.0
2021-11-04,Sporting CP,Famalicão,1.0,1.0,Empate,1.0,1.0,D,16.0,2.0,5.0,2.0,6.0,5.0,13.0,18.0,3.0,3.0,0.0,0.0,11.0,2.0,3.0,3.0,6.0
2021-10-04,Tondela,Porto,0.0,2.0,Vitória Visitante,0.0,1.0,A,7.0,13.0,2.0,6.0,1.0,6.0,19.0,21.0,4.0,1.0,0.0,0.0,7.0,2.0,4.0,1.0,5.0
2021-10-04,Boavista,Rio Ave,3.0,3.0,Empate,2.0,1.0,H,13.0,10.0,4.0,5.0,6.0,5.0,21.0,18.0,5.0,1.0,1.0,0.0,11.0,6.0,6.0,1.0,7.0
2021-10-04,Paços,Benfica,0.0,5.0,Vitória Visitante,0.0,3.0,A,2.0,15.0,1.0,9.0,1.0,11.0,8.0,14.0,1.0,5.0,1.0,0.0,12.0,5.0,2.0,5.0,7.0
2021-10-04,Marítimo,SC Farense,1.0,0.0,Vitória Mandante,1.0,0.0,H,9.0,14.0,2.0,2.0,6.0,12.0,15.0,19.0,4.0,3.0,0.0,0.0,18.0,1.0,4.0,3.0,7.0
2021-10-01,Belenenses,Paços,0.0,2.0,Vitória Visitante,0.0,1.0,A,14.0,9.0,6.0,5.0,8.0,4.0,20.0,11.0,2.0,2.0,0.0,0.0,12.0,2.0,2.0,2.0,4.0
2021-10-01,SC Farense,Gil Vicente FC,3.0,1.0,Vitória Mandante,2.0,1.0,H,10.0,7.0,4.0,3.0,7.0,6.0,15.0,18.0,1.0,2.0,1.0,0.0,13.0,4.0,2.0,2.0,4.0
2021-09-04,Portimonense,Vitória,3.0,0.0,Vitória Mandante,1.0,0.0,H,7.0,10.0,3.0,3.0,3.0,8.0,16.0,10.0,2.0,2.0,0.0,0.0,11.0,3.0,2.0,2.0,4.0
2021-09-03,Braga,Vitória,3.0,0.0,Vitória Mandante,2.0,0.0,H,8.0,14.0,4.0,1.0,3.0,12.0,16.0,14.0,1.0,2.0,0.0,0.0,15.0,3.0,1.0,2.0,3.0
2021-09-02,Gil Vicente FC,Sporting CP,1.0,2.0,Vitória Visitante,1.0,0.0,H,6.0,21.0,2.0,5.0,1.0,4.0,19.0,6.0,4.0,1.0,0.0,0.0,5.0,3.0,4.0,1.0,5.0
2021-09-02,Paços,Portimonense,0.0,0.0,Empate,0.0,0.0,D,6.0,14.0,1.0,3.0,3.0,2.0,12.0,9.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,3.0
2021-09-02,Boavista,Nacional,0.0,1.0,Vitória Visitante,0.0,1.0,A,20.0,7.0,2.0,1.0,6.0,1.0,15.0,23.0,2.0,4.0,1.0,0.0,7.0,1.0,3.0,4.0,7.0
2021-09-02,Rio Ave,Tondela,2.0,1.0,Vitória Mandante,0.0,1.0,A,6.0,11.0,2.0,5.0,2.0,3.0,13.0,10.0,4.0,2.0,0.0,0.0,5.0,3.0,4.0,2.0,6.0
2021-09-01,Moreirense,Vitória,2.0,2.0,Empate,1.0,1.0,D,7.0,9.0,6.0,3.0,2.0,3.0,19.0,12.0,2.0,3.0,0.0,0.0,5.0,4.0,2.0,3.0,5.0
2021-09-01,Boavista,Santa Clara,1.0,1.0,Empate,1.0,1.0,D,13.0,7.0,5.0,2.0,3.0,4.0,18.0,27.0,3.0,4.0,0.0,0.0,7.0,2.0,3.0,4.0,7.0
2021-08-03,Belenenses,Benfica,0.0,3.0,Vitória Visitante,0.0,0.0,D,10.0,11.0,3.0,6.0,4.0,5.0,9.0,12.0,1.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,1.0
2021-08-02,Marítimo,Santa Clara,1.0,2.0,Vitória Visitante,0.0,0.0,D,16.0,8.0,5.0,3.0,3.0,5.0,20.0,22.0,1.0,3.0,0.0,0.0,8.0,3.0,1.0,3.0,4.0
2021-08-02,Belenenses,Vitória,1.0,1.0,Empate,1.0,1.0,D,10.0,9.0,4.0,4.0,4.0,7.0,12.0,13.0,3.0,2.0,0.0,0.0,11.0,2.0,3.0,2.0,5.0
2021-08-02,SC Farense,Moreirense,1.0,2.0,Vitória Visitante,0.0,1.0,A,15.0,6.0,4.0,3.0,10.0,1.0,19.0,13.0,4.0,3.0,0.0,0.0,11.0,3.0,4.0,3.0,7.0
2021-08-02,Benfica,Famalicão,2.0,0.0,Vitória Mandante,2.0,0.0,H,13.0,10.0,5.0,5.0,4.0,1.0,22.0,12.0,3.0,2.0,0.0,0.0,5.0,2.0,3.0,2.0,5.0
2021-08-01,Rio Ave,Portimonense,3.0,0.0,Vitória Mandante,0.0,0.0,D,16.0,13.0,7.0,3.0,4.0,4.0,10.0,22.0,0.0,3.0,0.0,0.0,8.0,3.0,0.0,3.0,3.0
2021-08-01,Famalicão,Porto,1.0,4.0,Vitória Visitante,1.0,2.0,A,8.0,9.0,3.0,5.0,3.0,3.0,21.0,9.0,5.0,1.0,0.0,0.0,6.0,5.0,5.0,1.0,6.0
