clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Sporting CP,2021-04-16,27,Visitante,V,1.0,0.0,SC Farense,54.0,1.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104191/tlogo/fb/13dc44fd.png
Sporting CP,2021-04-11,26,Em casa,E,1.0,1.0,Famalicão,63.0,2.0,
Sporting CP,2021-04-05,25,Visitante,E,1.0,1.0,Moreirense,59.0,2.0,
Sporting CP,2021-03-20,24,Em casa,V,1.0,0.0,Vitória,69.0,1.0,
Sporting CP,2021-03-13,23,Visitante,V,1.0,0.0,Tondela,62.0,1.0,
Sporting CP,2021-03-05,22,Em casa,V,2.0,1.0,Santa Clara,59.0,3.0,
Sporting CP,2021-02-27,21,Visitante,E,0.0,0.0,Porto,45.0,0.0,
Sporting CP,2021-02-20,20,Em casa,V,2.0,0.0,Portimonense,57.0,2.0,
Sporting CP,2021-02-15,19,Em casa,V,2.0,0.0,Paços,45.0,2.0,
Sporting CP,2021-02-09,18,Visitante,V,2.0,1.0,Gil Vicente FC,67.0,3.0,
Sporting CP,2021-02-05,17,Visitante,V,2.0,0.0,Marítimo,56.0,2.0,
Sporting CP,2021-02-01,16,Em casa,V,1.0,0.0,Benfica,47.0,1.0,
Sporting CP,2021-01-26,15,Visitante,V,2.0,0.0,Boavista,66.0,2.0,
Sporting CP,2021-01-15,14,Em casa,E,1.0,1.0,Rio Ave,68.0,2.0,
Sporting CP,2021-01-08,13,Visitante,V,2.0,0.0,Nacional,57.0,2.0,
Sporting CP,2021-01-02,12,Em casa,V,2.0,0.0,Braga,47.0,2.0,
Sporting CP,2020-12-27,11,Visitante,V,2.0,1.0,Belenenses,58.0,3.0,
Sporting CP,2020-12-19,10,Em casa,V,1.0,0.0,SC Farense,74.0,1.0,
Sporting CP,2020-12-05, 9,Visitante,E,2.0,2.0,Famalicão,65.0,4.0,
Sporting CP,2020-11-28, 8,Em casa,V,2.0,1.0,Moreirense,68.0,3.0,
Sporting CP,2020-11-07, 7,Visitante,V,4.0,0.0,Vitória,44.0,4.0,
Sporting CP,2020-11-01, 6,Em casa,V,4.0,0.0,Tondela,63.0,4.0,
Sporting CP,2020-10-28, 1,Em casa,V,3.0,1.0,Gil Vicente FC,64.0,4.0,
Sporting CP,2020-10-24, 5,Visitante,V,2.0,1.0,Santa Clara,66.0,3.0,
Sporting CP,2020-10-17, 4,Em casa,E,2.0,2.0,Porto,55.0,4.0,
Sporting CP,2020-10-04, 3,Visitante,V,2.0,0.0,Portimonense,48.0,2.0,
Sporting CP,2020-09-27, 2,Visitante,V,2.0,0.0,Paços,51.0,2.0,
Porto,2021-04-18,27,Visitante,V,1.0,0.0,Nacional,61.0,1.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104191/tlogo/fb/5e876ee6.png
Porto,2021-04-10,26,Visitante,V,2.0,0.0,Tondela,,2.0,
Porto,2021-04-03,25,Em casa,V,2.0,1.0,Santa Clara,62.0,3.0,
Porto,2021-03-20,24,Visitante,V,2.0,1.0,Portimonense,67.0,3.0,
Porto,2021-03-14,23,Em casa,V,2.0,0.0,Paços,64.0,2.0,
Porto,2021-03-06,22,Visitante,V,2.0,0.0,Gil Vicente FC,59.0,2.0,
Porto,2021-02-27,21,Em casa,E,0.0,0.0,Sporting CP,55.0,0.0,
Porto,2021-02-22,20,Visitante,V,2.0,1.0,Marítimo,73.0,3.0,
Porto,2021-02-13,19,Em casa,E,2.0,2.0,Boavista,74.0,4.0,
Porto,2021-02-07,18,Visitante,E,2.0,2.0,Braga,39.0,4.0,
Porto,2021-02-04,17,Visitante,E,0.0,0.0,Belenenses,63.0,0.0,
Porto,2021-02-01,16,Em casa,V,2.0,0.0,Rio Ave,57.0,2.0,
Porto,2021-01-25,15,Visitante,V,1.0,0.0,SC Farense,58.0,1.0,
Porto,2021-01-15,14,Em casa,E,1.0,1.0,Benfica,37.0,2.0,
Porto,2021-01-08,13,Visitante,V,4.0,1.0,Famalicão,57.0,5.0,
Porto,2021-01-03,12,Em casa,V,3.0,0.0,Moreirense,57.0,3.0,
Porto,2020-12-29,11,Visitante,V,3.0,2.0,Vitória,67.0,5.0,
Porto,2020-12-20,10,Em casa,V,2.0,0.0,Nacional,59.0,2.0,
Porto,2020-12-05, 9,Em casa,V,4.0,3.0,Tondela,69.0,7.0,
