posicao,equipe,n_jogos,vitorias,empates,derrotas,gols_marcados,gols_sofridos,saldo_gols,pontos,ultimos_5
1,Sporting CP,27,21,6,0,49,13,36,69,V V E E V
2,Porto,27,19,6,2,56,24,32,63,V V V V V
3,Benfica,27,17,6,4,49,19,30,57,V V V V D
4,Braga,27,17,4,6,47,27,20,55,E D V E E
5,Paços,28,13,5,10,33,34,-1,44,V D D D D
6,Vitória,27,11,5,11,31,35,-4,38,D D D D V
7,Santa Clara,27,10,5,12,33,30,3,35,V E D V D
8,Moreirense,27,8,10,9,28,35,-7,34,E D E V D
9,Portimonense,27,9,5,13,31,31,0,32,D D V V V
10,Tondela,27,9,4,14,28,44,-16,31,D E V D V
11,Gil Vicente FC,27,9,4,14,27,34,-7,31,V V V D V
12,Belenenses,27,6,12,9,17,24,-7,30,V E D E V
13,Rio Ave,27,6,11,10,22,31,-9,29,E E D E E
14,Boavista,27,6,10,11,31,40,-9,28,D D V E V
15,Famalicão,27,6,9,12,27,39,-12,27,E V V E D
16,SC Farense,28,6,7,15,26,36,-10,25,V D D D V
17,Marítimo,27,7,3,17,22,40,-18,24,V D D V D
18,Nacional,27,5,6,16,24,45,-21,21,D D D D D
