rodada,gols_marcados,gols_sofridos,oponente,posse,derrota,empate,vitoria,em_casa,visitante
23,3.0,0.0,Milan,40.0,0,0,1,0,1
22,3.0,1.0,Lazio,35.0,0,0,1,1,0
21,2.0,0.0,Fiorentina,55.0,0,0,1,0,1
20,4.0,0.0,Benevento,61.0,0,0,1,1,0
19,0.0,0.0,Udinese,61.0,0,1,0,0,1
18,2.0,0.0,Juventus,50.0,0,0,1,1,0
17,2.0,2.0,Roma,49.0,0,1,0,0,1
16,1.0,2.0,Sampdoria,63.0,1,0,0,0,1
15,6.0,2.0,Crotone,48.0,0,0,1,1,0
14,2.0,1.0,Hellas Verona,60.0,0,0,1,0,1
13,2.0,1.0,Spezia,42.0,0,0,1,1,0
12,1.0,0.0,Napoli,41.0,0,0,1,1,0
11,3.0,1.0,Cagliari,58.0,0,0,1,0,1
10,3.0,1.0,Bologna,46.0,0,0,1,1,0
9,3.0,0.0,Sassuolo,34.0,0,0,1,0,1
8,4.0,2.0,Torino,56.0,0,0,1,1,0
7,1.0,1.0,Atalanta,48.0,0,1,0,0,1
6,2.0,2.0,Parma,69.0,0,1,0,1,0
5,2.0,0.0,Genoa,61.0,0,0,1,0,1
4,1.0,2.0,Milan,55.0,1,0,0,1,0
3,1.0,1.0,Lazio,60.0,0,1,0,0,1
2,4.0,3.0,Fiorentina,66.0,0,0,1,1,0
1,5.0,2.0,Benevento,66.0,0,0,1,0,1
