data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-04,Kasımpaşa,Yeni Mal'spor,0,0,Empate,0,0,D,14,5,3,1,4,4,11,9,1,1,0,0,8,0,1,1,2
2021-12-04,Fenerbahçe,Gaziantep FK,3,1,Vitória Mandante,0,0,D,17,11,9,3,8,3,10,15,2,2,0,0,11,4,2,2,4
2021-12-04,Alanyaspor,Denizlispor,3,2,Vitória Mandante,0,1,A,25,10,10,3,8,1,13,12,2,4,0,0,9,5,2,4,6
2021-12-03,Başakşehir,Beşiktaş,2,3,Vitória Visitante,0,1,A,9,14,3,5,4,1,13,10,3,1,0,0,5,5,3,1,4
2021-12-02,Rizespor,Erzurum BB,0,2,Vitória Visitante,0,0,D,10,17,4,8,3,1,16,15,4,3,1,0,4,2,5,3,8
2021-11-04,Kayserispor,Antalyaspor,0,1,Vitória Visitante,0,1,A,13,5,5,3,7,3,9,10,2,4,0,0,10,1,2,4,6
2021-11-04,Ankaragücü,Gençlerbirliği,2,1,Vitória Mandante,0,0,D,15,12,5,6,5,3,14,20,4,4,0,0,8,3,4,4,8
2021-11-04,Sivasspor,Konyaspor,3,1,Vitória Mandante,1,0,H,9,13,6,5,2,5,15,15,1,2,1,0,7,4,2,2,4
2021-11-04,Erzurum BB,Beşiktaş,2,4,Vitória Visitante,2,2,D,12,10,4,6,3,2,16,19,1,2,0,0,5,6,1,2,3
2021-11-01,Alanyaspor,Kasımpaşa,1,2,Vitória Visitante,1,2,A,28,6,8,2,8,1,16,9,1,1,0,1,9,3,1,2,3
2021-11-01,Erzurum BB,Fenerbahçe,0,3,Vitória Visitante,0,1,A,13,11,2,8,6,5,10,12,1,1,0,0,11,3,1,1,2
2021-10-04,Hatayspor,Göztepe,2,3,Vitória Visitante,0,2,A,16,16,3,7,5,2,8,15,2,4,0,0,7,5,2,4,6
2021-10-04,Galatasaray,Fatih Karagümrük,1,1,Empate,0,0,D,17,9,4,7,3,9,15,15,5,2,1,0,12,2,6,2,8
2021-10-04,Rizespor,Trabzonspor,0,0,Empate,0,0,D,12,17,3,7,2,7,13,10,4,3,0,1,9,0,4,4,8
2021-10-01,Hatayspor,Beşiktaş,2,2,Empate,2,2,D,9,18,3,7,3,9,17,12,4,1,0,0,12,4,4,1,5
2021-10-01,Rizespor,Denizlispor,1,1,Empate,0,1,A,21,11,7,5,11,5,20,24,2,5,0,0,16,2,2,5,7
2021-10-01,Fatih Karagümrük,Konyaspor,2,1,Vitória Mandante,0,0,D,9,8,4,2,4,5,10,10,3,2,0,0,9,3,3,2,5
2021-10-01,Ankaragücü,Başakşehir,1,2,Vitória Visitante,1,1,D,13,12,3,3,5,3,16,12,2,3,0,0,8,3,2,3,5
