data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo
2020-12-07,Fenerbahce,Sivasspor,1.0,2.0,Vitória Visitante,1.0,2.0,A
2020-12-07,Antalyaspor,Alanyaspor,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-12-07,Ankaragucu,Galatasaray,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-12-06,Fenerbahce,Kayserispor,2.0,1.0,Vitória Mandante,0.0,0.0,D
2020-12-06,Goztep,Trabzonspor,1.0,3.0,Vitória Visitante,0.0,1.0,A
2020-11-07,Goztep,Genclerbirligi,1.0,3.0,Vitória Visitante,0.0,2.0,A
2020-11-03,Yeni Malatyaspor,Trabzonspor,1.0,3.0,Vitória Visitante,1.0,2.0,A
2020-09-07,Gaziantep,Konyaspor,3.0,1.0,Vitória Mandante,0.0,1.0,A
2020-09-07,Besiktas,Kasimpasa,3.0,2.0,Vitória Mandante,1.0,2.0,A
2020-09-07,Rizespor,Kayserispor,3.0,2.0,Vitória Mandante,1.0,1.0,D
2020-09-03,Genclerbirligi,Antalyaspor,1.0,1.0,Empate,0.0,0.0,D
2020-09-02,Kayserispor,Antalyaspor,2.0,2.0,Empate,1.0,1.0,D
2020-09-02,Sivasspor,Buyuksehyr,1.0,1.0,Empate,0.0,0.0,D
2020-09-02,Kasimpasa,Galatasaray,0.0,3.0,Vitória Visitante,0.0,3.0,A
2020-08-07,Sivasspor,Yeni Malatyaspor,0.0,1.0,Vitória Visitante,0.0,0.0,D
2020-08-07,Trabzonspor,Antalyaspor,2.0,2.0,Empate,2.0,1.0,H
2020-08-07,Alanyaspor,Galatasaray,4.0,1.0,Vitória Mandante,2.0,1.0,H
2020-08-07,Goztep,Ankaragucu,2.0,2.0,Empate,2.0,1.0,H
2020-08-03,Sivasspor,Galatasaray,2.0,2.0,Empate,1.0,2.0,A
2020-08-03,Rizespor,Alanyaspor,1.0,1.0,Empate,0.0,1.0,A
2020-08-03,Kasimpasa,Kayserispor,5.0,1.0,Vitória Mandante,3.0,0.0,H
2020-08-02,Fenerbahce,Alanyaspor,1.0,1.0,Empate,0.0,1.0,A
2020-08-02,Genclerbirligi,Trabzonspor,0.0,2.0,Vitória Visitante,0.0,0.0,D
2020-08-02,Besiktas,Gaziantep,3.0,0.0,Vitória Mandante,0.0,0.0,D
2020-08-02,Konyaspor,Denizlispor,0.0,0.0,Empate,0.0,0.0,D
