data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-12-04,Kasımpaşa,Yeni Mal'spor,0.0,0.0,Empate,0.0,0.0,D,14.0,5.0,3.0,1.0,4.0,4.0,11.0,9.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0
2021-12-04,Alanyaspor,Denizlispor,3.0,2.0,Vitória Mandante,0.0,1.0,A,25.0,10.0,10.0,3.0,8.0,1.0,13.0,12.0,2.0,4.0,0.0,0.0,9.0,5.0,2.0,4.0,6.0
2021-12-04,Fenerbahçe,Gaziantep FK,3.0,1.0,Vitória Mandante,0.0,0.0,D,17.0,11.0,9.0,3.0,8.0,3.0,10.0,15.0,2.0,2.0,0.0,0.0,11.0,4.0,2.0,2.0,4.0
2021-12-03,Başakşehir,Beşiktaş,2.0,3.0,Vitória Visitante,0.0,1.0,A,9.0,14.0,3.0,5.0,4.0,1.0,13.0,10.0,3.0,1.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0
2021-12-02,Rizespor,Erzurum BB,0.0,2.0,Vitória Visitante,0.0,0.0,D,10.0,17.0,4.0,8.0,3.0,1.0,16.0,15.0,4.0,3.0,1.0,0.0,4.0,2.0,5.0,3.0,8.0
2021-11-04,Kayserispor,Antalyaspor,0.0,1.0,Vitória Visitante,0.0,1.0,A,13.0,5.0,5.0,3.0,7.0,3.0,9.0,10.0,2.0,4.0,0.0,0.0,10.0,1.0,2.0,4.0,6.0
2021-11-04,Sivasspor,Konyaspor,3.0,1.0,Vitória Mandante,1.0,0.0,H,9.0,13.0,6.0,5.0,2.0,5.0,15.0,15.0,1.0,2.0,1.0,0.0,7.0,4.0,2.0,2.0,4.0
2021-11-04,Erzurum BB,Beşiktaş,2.0,4.0,Vitória Visitante,2.0,2.0,D,12.0,10.0,4.0,6.0,3.0,2.0,16.0,19.0,1.0,2.0,0.0,0.0,5.0,6.0,1.0,2.0,3.0
2021-11-04,Ankaragücü,Gençlerbirliği,2.0,1.0,Vitória Mandante,0.0,0.0,D,15.0,12.0,5.0,6.0,5.0,3.0,14.0,20.0,4.0,4.0,0.0,0.0,8.0,3.0,4.0,4.0,8.0
2021-11-01,Alanyaspor,Kasımpaşa,1.0,2.0,Vitória Visitante,1.0,2.0,A,28.0,6.0,8.0,2.0,8.0,1.0,16.0,9.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,2.0,3.0
2021-11-01,Erzurum BB,Fenerbahçe,0.0,3.0,Vitória Visitante,0.0,1.0,A,13.0,11.0,2.0,8.0,6.0,5.0,10.0,12.0,1.0,1.0,0.0,0.0,11.0,3.0,1.0,1.0,2.0
2021-10-04,Hatayspor,Göztepe,2.0,3.0,Vitória Visitante,0.0,2.0,A,16.0,16.0,3.0,7.0,5.0,2.0,8.0,15.0,2.0,4.0,0.0,0.0,7.0,5.0,2.0,4.0,6.0
2021-10-04,Galatasaray,Fatih Karagümrük,1.0,1.0,Empate,0.0,0.0,D,17.0,9.0,4.0,7.0,3.0,9.0,15.0,15.0,5.0,2.0,1.0,0.0,12.0,2.0,6.0,2.0,8.0
2021-10-04,Rizespor,Trabzonspor,0.0,0.0,Empate,0.0,0.0,D,12.0,17.0,3.0,7.0,2.0,7.0,13.0,10.0,4.0,3.0,0.0,1.0,9.0,0.0,4.0,4.0,8.0
2021-10-01,Fatih Karagümrük,Konyaspor,2.0,1.0,Vitória Mandante,0.0,0.0,D,9.0,8.0,4.0,2.0,4.0,5.0,10.0,10.0,3.0,2.0,0.0,0.0,9.0,3.0,3.0,2.0,5.0
2021-10-01,Ankaragücü,Başakşehir,1.0,2.0,Vitória Visitante,1.0,1.0,D,13.0,12.0,3.0,3.0,5.0,3.0,16.0,12.0,2.0,3.0,0.0,0.0,8.0,3.0,2.0,3.0,5.0
2021-10-01,Rizespor,Denizlispor,1.0,1.0,Empate,0.0,1.0,A,21.0,11.0,7.0,5.0,11.0,5.0,20.0,24.0,2.0,5.0,0.0,0.0,16.0,2.0,2.0,5.0,7.0
2021-10-01,Hatayspor,Beşiktaş,2.0,2.0,Empate,2.0,2.0,D,9.0,18.0,3.0,7.0,3.0,9.0,17.0,12.0,4.0,1.0,0.0,0.0,12.0,4.0,4.0,1.0,5.0
2021-09-01,Sivasspor,Gaziantep FK,2.0,1.0,Vitória Mandante,1.0,1.0,D,21.0,10.0,7.0,2.0,8.0,7.0,10.0,10.0,5.0,3.0,0.0,1.0,15.0,3.0,5.0,4.0,9.0
2021-09-01,Göztepe,Antalyaspor,0.0,1.0,Vitória Visitante,0.0,0.0,D,7.0,7.0,2.0,2.0,8.0,5.0,16.0,15.0,3.0,1.0,0.0,0.0,13.0,1.0,3.0,1.0,4.0
2021-09-01,Kayserispor,Yeni Mal'spor,1.0,0.0,Vitória Mandante,1.0,0.0,H,8.0,12.0,4.0,3.0,2.0,5.0,18.0,12.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,5.0
2021-09-01,Galatasaray,Gençlerbirliği,6.0,0.0,Vitória Mandante,4.0,0.0,H,16.0,5.0,9.0,2.0,5.0,4.0,8.0,18.0,0.0,3.0,0.0,0.0,9.0,6.0,0.0,3.0,3.0
2021-08-04,Denizlispor,Kasımpaşa,1.0,1.0,Empate,0.0,0.0,D,15.0,13.0,6.0,3.0,1.0,2.0,9.0,16.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0
2021-08-04,Gaziantep FK,Başakşehir,2.0,0.0,Vitória Mandante,1.0,0.0,H,6.0,16.0,2.0,5.0,2.0,13.0,8.0,3.0,1.0,1.0,0.0,0.0,15.0,2.0,1.0,1.0,2.0
2021-08-04,Yeni Mal'spor,Fenerbahçe,1.0,1.0,Empate,1.0,1.0,D,8.0,14.0,1.0,4.0,4.0,7.0,14.0,15.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0
2021-08-03,Göztepe,Erzurum BB,3.0,1.0,Vitória Mandante,1.0,0.0,H,16.0,11.0,7.0,4.0,7.0,2.0,18.0,14.0,2.0,3.0,0.0,1.0,9.0,4.0,2.0,4.0,6.0
2021-08-03,Konyaspor,Fenerbahçe,0.0,3.0,Vitória Visitante,0.0,2.0,A,15.0,14.0,5.0,7.0,2.0,2.0,10.0,11.0,2.0,2.0,0.0,0.0,4.0,3.0,2.0,2.0,4.0
2021-08-03,Trabzonspor,Alanyaspor,1.0,3.0,Vitória Visitante,0.0,0.0,D,18.0,11.0,5.0,6.0,3.0,4.0,17.0,8.0,3.0,3.0,0.0,0.0,7.0,4.0,3.0,3.0,6.0
2021-08-03,Antalyaspor,Kasımpaşa,1.0,1.0,Empate,1.0,0.0,H,8.0,11.0,3.0,2.0,0.0,4.0,13.0,10.0,1.0,3.0,0.0,0.0,4.0,2.0,1.0,3.0,4.0
2021-08-02,Yeni Mal'spor,Trabzonspor,0.0,2.0,Vitória Visitante,0.0,0.0,D,11.0,10.0,1.0,2.0,11.0,4.0,9.0,17.0,1.0,2.0,0.0,0.0,15.0,2.0,1.0,2.0,3.0
2021-08-02,Gaziantep FK,Göztepe,2.0,0.0,Vitória Mandante,0.0,0.0,D,8.0,6.0,2.0,4.0,2.0,2.0,15.0,14.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0
2021-07-04,Antalyaspor,Sivasspor,2.0,4.0,Vitória Visitante,1.0,2.0,A,12.0,11.0,7.0,8.0,1.0,1.0,5.0,10.0,3.0,2.0,0.0,0.0,2.0,6.0,3.0,2.0,5.0
2021-07-04,Konyaspor,Ankaragücü,1.0,1.0,Empate,0.0,0.0,D,11.0,11.0,3.0,5.0,4.0,4.0,14.0,9.0,2.0,1.0,0.0,0.0,8.0,2.0,2.0,1.0,3.0
2021-07-04,Gençlerbirliği,Erzurum BB,1.0,1.0,Empate,1.0,0.0,H,6.0,23.0,2.0,5.0,4.0,8.0,17.0,8.0,2.0,2.0,0.0,0.0,12.0,2.0,2.0,2.0,4.0
2021-07-04,Beşiktaş,Alanyaspor,3.0,0.0,Vitória Mandante,1.0,0.0,H,17.0,13.0,7.0,6.0,4.0,5.0,14.0,11.0,2.0,2.0,0.0,0.0,9.0,3.0,2.0,2.0,4.0
2021-07-03,Hatayspor,Kayserispor,1.0,3.0,Vitória Visitante,0.0,2.0,A,10.0,16.0,4.0,6.0,7.0,5.0,3.0,13.0,2.0,1.0,1.0,0.0,12.0,4.0,3.0,1.0,4.0
2021-07-03,Fatih Karagümrük,Ankaragücü,0.0,1.0,Vitória Visitante,0.0,0.0,D,16.0,4.0,3.0,3.0,4.0,2.0,20.0,11.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0
2021-07-03,Gençlerbirliği,Başakşehir,0.0,1.0,Vitória Visitante,0.0,0.0,D,10.0,9.0,3.0,4.0,1.0,7.0,14.0,10.0,2.0,2.0,1.0,0.0,8.0,1.0,3.0,2.0,5.0
2021-07-03,Galatasaray,Sivasspor,2.0,2.0,Empate,1.0,2.0,A,17.0,12.0,7.0,4.0,6.0,4.0,11.0,13.0,4.0,4.0,0.0,1.0,10.0,4.0,4.0,5.0,9.0
2021-07-02,Beşiktaş,Konyaspor,1.0,0.0,Vitória Mandante,0.0,0.0,D,12.0,3.0,3.0,0.0,5.0,3.0,12.0,12.0,4.0,3.0,1.0,0.0,8.0,1.0,5.0,3.0,8.0
2021-07-02,Ankaragücü,Sivasspor,1.0,4.0,Vitória Visitante,0.0,1.0,A,14.0,12.0,6.0,7.0,3.0,2.0,17.0,10.0,5.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,6.0
2021-07-02,Erzurum BB,Kayserispor,1.0,1.0,Empate,1.0,0.0,H,7.0,8.0,2.0,5.0,1.0,5.0,12.0,13.0,3.0,1.0,1.0,0.0,6.0,2.0,4.0,1.0,5.0
2021-07-02,Denizlispor,Antalyaspor,1.0,1.0,Empate,1.0,0.0,H,9.0,13.0,3.0,2.0,2.0,3.0,20.0,9.0,2.0,2.0,0.0,0.0,5.0,2.0,2.0,2.0,4.0
2021-07-01,Fenerbahçe,Alanyaspor,2.0,1.0,Vitória Mandante,1.0,0.0,H,14.0,17.0,5.0,8.0,2.0,9.0,20.0,13.0,4.0,4.0,0.0,0.0,11.0,3.0,4.0,4.0,8.0
2021-06-04,Göztepe,Rizespor,2.0,0.0,Vitória Mandante,0.0,0.0,D,11.0,8.0,4.0,0.0,5.0,1.0,15.0,11.0,2.0,2.0,0.0,1.0,6.0,2.0,2.0,3.0,5.0
2021-06-04,Fatih Karagümrük,Hatayspor,1.0,0.0,Vitória Mandante,0.0,0.0,D,9.0,10.0,3.0,4.0,10.0,3.0,16.0,10.0,1.0,1.0,0.0,0.0,13.0,1.0,1.0,1.0,2.0
2021-06-04,Trabzonspor,Kayserispor,1.0,1.0,Empate,1.0,1.0,D,28.0,5.0,11.0,2.0,7.0,4.0,7.0,11.0,1.0,4.0,0.0,0.0,11.0,2.0,1.0,4.0,5.0
2021-06-03,Beşiktaş,Gaziantep FK,2.0,1.0,Vitória Mandante,1.0,0.0,H,10.0,8.0,3.0,3.0,4.0,5.0,15.0,10.0,1.0,1.0,0.0,0.0,9.0,3.0,1.0,1.0,2.0
