clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Beşiktaş,2021-04-20,36,Visitante,E,0.0,0.0,Sivasspor,67.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104191/tlogo/fb/0f9294bd.png
Beşiktaş,2021-04-16,35,Em casa,E,2.0,2.0,Ankaragücü,63.0,4.0,
Beşiktaş,2021-04-11,34,Visitante,V,4.0,2.0,Erzurum BB,54.0,6.0,
Beşiktaş,2021-04-07,33,Em casa,V,3.0,0.0,Alanyaspor,48.0,3.0,
Beşiktaş,2021-04-04,32,Visitante,D,0.0,1.0,Kasımpaşa,65.0,1.0,
Beşiktaş,2021-03-21,31,Em casa,E,1.0,1.0,Fenerbahçe,57.0,2.0,
Beşiktaş,2021-03-12,30,Visitante,V,3.0,2.0,Başakşehir,68.0,5.0,
Beşiktaş,2021-03-06,29,Em casa,V,2.0,1.0,Gaziantep FK,61.0,3.0,
Beşiktaş,2021-03-02,28,Visitante,V,1.0,0.0,Yeni Mal'spor,65.0,1.0,
Beşiktaş,2021-02-26,27,Em casa,V,3.0,0.0,Denizlispor,61.0,3.0,
Beşiktaş,2021-02-15,25,Visitante,V,3.0,0.0,Gençlerbirliği,57.0,3.0,
Beşiktaş,2021-02-07,24,Em casa,V,1.0,0.0,Konyaspor,58.0,1.0,
Beşiktaş,2021-02-03,23,Visitante,E,1.0,1.0,Antalyaspor,68.0,2.0,
Beşiktaş,2021-01-31,22,Em casa,D,1.0,2.0,Trabzonspor,64.0,3.0,
Beşiktaş,2021-01-24,21,Em casa,V,2.0,1.0,Göztepe,70.0,3.0,
Beşiktaş,2021-01-21,20,Visitante,V,4.0,1.0,Fatih Karagümrük,72.0,5.0,
Beşiktaş,2021-01-17,19,Em casa,V,2.0,0.0,Galatasaray,59.0,2.0,
Beşiktaş,2021-01-10,18,Visitante,E,2.0,2.0,Hatayspor,66.0,4.0,
Beşiktaş,2021-01-06,17,Em casa,V,6.0,0.0,Rizespor,41.0,6.0,
Beşiktaş,2021-01-03,16,Visitante,V,2.0,0.0,Kayserispor,72.0,2.0,
Beşiktaş,2020-12-28,15,Em casa,V,3.0,0.0,Sivasspor,68.0,3.0,
Beşiktaş,2020-12-24,14,Visitante,V,1.0,0.0,Ankaragücü,62.0,1.0,
Beşiktaş,2020-12-20,13,Em casa,V,4.0,0.0,Erzurum BB,61.0,4.0,
Beşiktaş,2020-12-13,12,Visitante,D,1.0,2.0,Alanyaspor,57.0,3.0,
Beşiktaş,2020-12-04,11,Em casa,V,3.0,0.0,Kasımpaşa,68.0,3.0,
Beşiktaş,2020-11-29,10,Visitante,V,4.0,3.0,Fenerbahçe,40.0,7.0,
Beşiktaş,2020-11-21, 9,Em casa,V,3.0,2.0,Başakşehir,44.0,5.0,
Beşiktaş,2020-11-06, 8,Visitante,D,1.0,3.0,Gaziantep FK,69.0,4.0,
Beşiktaş,2020-11-01, 7,Em casa,V,1.0,0.0,Yeni Mal'spor,69.0,1.0,
Beşiktaş,2020-10-26, 6,Visitante,V,3.0,2.0,Denizlispor,51.0,5.0,
Beşiktaş,2020-10-04, 4,Em casa,D,0.0,1.0,Gençlerbirliği,64.0,1.0,
Beşiktaş,2020-09-27, 3,Visitante,D,1.0,4.0,Konyaspor,68.0,5.0,
Beşiktaş,2020-09-19, 2,Em casa,E,1.0,1.0,Antalyaspor,60.0,2.0,
Beşiktaş,2020-09-13, 1,Visitante,V,3.0,1.0,Trabzonspor,51.0,4.0,
Fenerbahçe,2021-04-18,35,Visitante,V,2.0,1.0,Başakşehir,50.0,3.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104191/tlogo/fb/ae1e2d7d.png
Fenerbahçe,2021-04-12,34,Em casa,V,3.0,1.0,Gaziantep FK,63.0,4.0,
Fenerbahçe,2021-04-08,33,Visitante,E,1.0,1.0,Yeni Mal'spor,74.0,2.0,
